State,2005-06,2011-12,2015-16
Andaman and Nicobar Islands ,1704,3978,6032
Andhra Pradesh,239683,379402,6042229
Arunachal Pradesh,2918,11063,18509
Assam,57817,143175,227959
Bihar,79382,247144,371602
Chandigarh,10299,18768,29275
Chhattisgarh,50999,158074,225163
Delhi,105814,343798,550804
Goa,13262,42367,55054
Gujarat,226897,615606,1029010
Haryana,106393,297539,495504
Himachal Pradesh,25685,72720,114239
Jammu and Kashmir,26537,78256,117168
Jharkhand,54879,150918,206613
Karnataka,183796,606010,1045168
Kerala,125588,364048,561994
Madhya Pradesh,117565,315562,541068
Maharastra,438732,1280369,1966225
Manipur,5066,12915,19531
Meghalaya,6445,19918,25117
Mizoram,2721,7259,15139
Nagaland,5490,12177,19524
Odisha,78445,230987,328550
Puducherry,6219,16818,26617
Punjab,108653,266628,390087
Rajasthan,128644,434837,681482
Sikkim,1830,11165,18034
Tamil Nadu,234837,751486,1176500
Telangana,0,359434,577902
Tripura,9388,19208,35938
Uttar Pradesh,277068,724050,1137808
Uttarakhand,26179,115328,177163
West Bengal ,229339,52085,797300
