L 1,L 2,Anantapur,Chittoor,East Godavari,Guntur,Krishna,Kurnool,Nellore,Prakasam,Srikakulam,Vishakhapatnam,Vizianagaram,West Godavari,Ysr kadapa,Grand Total
Agriculture,Crop land,11436.18,5857.12,4027.11,7308.06,5042.79,9079.37,4353.37,8589.53,3317.45,2981.01,3433.4,4574.23,5311.17,75310.79
Agriculture,Current Shifting cultivation,,,14.51,,,,,,0.73,0.73,0.08,0.11,,16.16
Agriculture,Fallow,2013.33,1843.56,335.61,712.25,288.32,2397.13,1880.74,1189.23,238.1,770.73,328.52,206.25,1189.79,13393.56
Agriculture,Plantation,132.7,150.18,1131.63,171.8,727.01,2.22,319.89,328.1,686.03,787.37,519.96,723.39,224.4,5904.68
Barren/uncultur able/ Wastelands,Barren Rocky,532.87,260.82,1.1,209.69,3.84,720.41,8.26,115.48,7.38,10.8,17.67,0.14,266.53,2154.99
Barren/uncultur able/ Wastelands,Gullied / Ravinous Land,0.34,23.34,17.12,0,1.36,33.29,12.99,26.71,11.49,59.61,41.54,9.76,12.19,249.74
Barren/uncultur able/ Wastelands,Rann,,,,,,,,,,,,,,0
Barren/uncultur able/ Wastelands,Salt Affected Land,294.65,92.27,,20.47,,328.46,279.67,248.75,,,,,31.23,1295.5
Barren/uncultur able/ Wastelands,Sandy Area,6.12,0.23,28.86,4.72,8.88,,171.52,27.54,20.8,21.95,3.02,2.25,1.13,297.02
Barren/uncultur able/ Wastelands,Scrub Land,1617.33,1649.05,210.19,315.7,148.9,874.66,1033.82,1507.77,436.52,1405.86,413.44,61.93,2423.49,12098.66
Builtup,Mining,23.13,83.57,10.23,50.82,9.15,111.51,6.1,22.86,6.57,9.83,5.86,8.4,37.56,385.59
Builtup,Rural,226.68,167.4,319.5,317.27,319.31,278.18,246.06,249.02,105.52,122.19,92.82,295.32,146.86,2886.13
Builtup,Urban,74.95,76.79,138.76,93.17,101.47,55.11,53.09,45.55,14.06,258.66,27.93,75.12,58.7,1073.36
Forest,Deciduous,680.09,2892.39,3111.97,827.99,269.44,2277.82,1438.28,3283.64,304.52,3566.69,992.97,630.86,3441.2,23717.86
Forest,Evergreen/Semi evergreen,,5.32,91.14,,,,,,,96.79,,54.76,,248.01
Forest,Forest Plantation,1.62,56.04,91.45,27.2,32.27,10.9,120.66,40.21,12.31,49.16,7.85,163.8,9.13,622.6
Forest,Scrub Forest,1114.79,1297.46,67.97,603.3,168.58,713.28,841.32,1012.32,290.72,601.84,346,12.6,1355.76,8425.94
Forest,Swamp / Mangroves,,,187.56,30.34,106.13,,2.93,0.32,,,,2.95,,330.23
Grass / Grazing,Grass / Grazing,,,33.5,,,,,,,55.14,,6.1,,94.74
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,0
Wet lands / Water bodies,Coastal Wetland,,6.49,31.49,34.85,176.72,,675.48,83.36,56.62,42.92,0.75,7.83,,1116.51
Wet lands / Water bodies,Inland Wetland,0.94,0.05,5.27,1.36,46.56,,2.93,12.31,10.01,3.96,0.97,134.07,3.88,222.31
Wet lands / Water bodies,River/Stream/Canals,395.98,123.14,554.04,339.87,321.68,272.45,324.84,298.33,118.25,149.83,79.28,111.98,337.84,3427.51
Wet lands / Water bodies,Water bodies,578.3,566.76,398.01,322.14,954.58,503.2,1304.07,544.96,199.93,165.95,226.95,660.16,508.14,6933.15
