L 1,L 2,Bastar,Bilaspur,Dantewada,Dhamtari,Durg,Janjgir Champa,Jashpur,Kanker,Kawardha,Korba,Koriya,Mahasamund,Raigarh,Raipur,Raj Nandgaon,Surguja,Grand Total
Agriculture,Crop land,5005.85,3792.31,5413.36,1667.30,6409.07,2804.46,2197.58,2746.98,2044.53,3272.87,979.56,2301.74,3591.81,6820.48,3675.40,4938.51,57661.80
Agriculture,Current Shifting cultivatio,n 0.63,,1.22,,,,,,,n,,,,,,,1.85
Agriculture,Fallow,571.15,108.88,48.65,27.20,41.73,30.57,40.71,81.98,199.28,61.38,333.51,813.67,185.48,146.90,27.41,533.71,3252.22
Agriculture,Plantation,5.69,16.41,0.41,1.50,13.00,2.65,2.41,0.87,10.74,11.48,,14.63,7.91,27.89,74.16,30.20,219.97
Barren/unculturable/ Wastelands,Barren Rocky,0.50,4.71,3.40,4.61,76.09,7.99,67.25,0.62,8.73,35.56,49.01,55.94,94.74,119.49,15.14,23.55,567.33
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,0.00,0.00,0.00,0.00,0.00,0.36,52.24,0.00,0.00,0.00,10.59,0.00,0.00,0.33,0.00,0.36,63.88
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,0.16,,,0.12,,,,0.29
Barren/unculturable/ Wastelands,Sandy Area,0.99,15.70,1.40,5.94,6.88,9.12,0.00,0.10,3.45,16.59,4.86,2.76,17.51,6.56,2.07,3.10,97.04
Barren/unculturable/ Wastelands,Scrub Land,103.41,354.01,23.06,46.41,368.14,225.45,213.47,173.40,30.90,227.01,334.76,87.72,315.97,347.53,314.14,1350.52,4515.89
Builtup,Mining,0.00,7.86,12.58,0.00,23.53,5.23,0.77,0.09,0.11,87.05,16.94,11.70,22.22,30.66,6.57,11.15,236.47
Builtup,Rural,361.90,338.99,67.24,115.57,312.98,181.40,184.59,114.27,94.18,85.01,130.49,151.26,95.11,337.57,192.53,337.08,3100.17
Builtup,Urban,22.55,73.36,8.79,15.87,138.42,36.81,9.77,6.67,2.64,73.50,25.81,9.37,35.26,201.70,14.96,33.47,708.95
Forest,Deciduous,8066.71,2199.35,11497.61,1872.30,809.74,143.19,2790.72,3072.50,1723.89,4656.23,4461.48,946.73,2500.00,3578.78,2267.24,7552.67,58139.14
Forest,Evergreen/Semi evergree,n 0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,n 0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Forest,Forest Plantation,10.55,0.96,0.86,0.24,1.09,,,,0.34,22.32,1.10,,1.15,4.61,0.72,7.24,51.21
Forest,Scrub Forest,702.40,131.83,339.39,68.84,79.64,11.27,192.19,197.00,51.91,129.81,82.52,120.36,94.88,437.68,102.49,638.95,3381.14
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Wet lands / Water bodies,River/Stream/Canals,108.13,55.57,192.75,66.57,50.56,156.80,79.40,80.40,24.09,94.35,154.45,82.40,81.74,259.01,87.33,200.26,1773.81
Wet lands / Water bodies,Water bodies,13.57,115.07,23.22,156.65,206.12,56.71,6.91,31.13,28.20,236.68,18.92,103.70,41.94,187.79,123.82,72.23,1422.64
