L 1,L 2,North Goa,South Goa,Grand Total
Agriculture,Crop land,336.74,256.44,593.19
Agriculture,Current Shifting cultivation,,,
Agriculture,Fallow,84.57,91.67,176.24
Agriculture,Plantation,,,
Barren/unculturable/ Wastelands,Barren Rocky,29.94,26.48,56.42
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,
Barren/unculturable/ Wastelands,Rann,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,
Barren/unculturable/ Wastelands,Sandy Area,0.22,2.20,2.42
Barren/unculturable/ Wastelands,Scrub Land,148.68,121.71,270.39
Builtup,Mining,36.22,37.07,73.29
Builtup,Rural,12.49,7.37,19.86
Builtup,Urban,130.14,157.10,287.24
Forest,Deciduous,467.86,692.52,1160.38
Forest,Evergreen/Semi evergreen,174.46,447.31,621.78
Forest,Forest Plantation,39.24,1.91,41.15
Forest,Scrub Forest,159.86,48.57,208.42
Forest,Swamp / Mangroves,14.54,1.92,16.46
Grass / Grazing,Grass / Grazing,0.18,0.00,0.18
Snow and Glacier,Snow and Glacier,,,
Wet lands / Water bodies,Inland Wetland,39.71,15.35,55.05
Wet lands / Water bodies,Coastal Wetland,8.16,12.03,20.18
Wet lands / Water bodies,River/Stream/Canals,45.82,23.10,68.91
Wet lands / Water bodies,Water bodies,4.17,26.26,30.43
