L 1,L 2,Ambala,Bhiwani,Faridabad,Fatehabad,Gurgaon,Hisar,Jhajjar,Jind,Kaithal,Karnal,Kurukshetra,Mahendragarh,Panchkula,Panipat,Rewari,Rohtak,Sirsa,Sonepat,Yamuna Nagar,Grand Total
Agriculture,Crop land,1440.60,4320.13,1840.66,2453.89,2278.72,3786.01,1767.56,2634.84,2217.35,2484.86,1461.47,1756.18,330.24,1225.72,1483.69,1673.84,3937.94,2028.93,1448.85,40571.48
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,0.47,203.15,3.08,2.76,33.43,65.55,10.49,3.93,0.47,0.28,0.18,7.68,4.34,0.31,5.64,5.86,120.02,1.58,0.32,469.53
Agriculture,Plantation,4.93,34.33,3.37,0.32,6.68,1.36,1.30,0.43,1.45,0.86,1.71,2.08,0.33,0.48,2.70,1.29,7.59,0.33,7.48,79.00
Barren/unculturable/ Wastelands,Barren Rocky,,11.17,0.31,,57.66,,0.06,,,,,16.51,,,6.63,,,,,92.34
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.01,0.00,0.00,0.00,0.00,0.21
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,0.36,7.21,0.12,8.49,0.14,0.72,0.45,0.57,0.04,,,,2.98,,2.05,3.02,5.71,,31.87
Barren/unculturable/ Wastelands,Sandy Area,0.07,4.62,0.71,0.10,0.08,2.31,0.23,1.05,0.00,0.00,0.67,1.26,0.41,0.33,0.00,3.07,1.91,0.01,0.54,17.38
Barren/unculturable/ Wastelands,Scrub Land,20.15,50.92,103.16,2.12,86.00,6.52,5.39,0.82,2.90,5.31,1.56,30.36,23.95,4.04,14.62,2.20,8.01,6.33,20.91,395.26
Builtup,Mining,2.23,3.91,1.36,0.03,7.40,0.03,0.62,0.45,0.38,1.19,2.03,1.10,3.50,0.43,4.05,0.00,0.47,2.13,6.87,38.18
Builtup,Rural,20.38,45.79,28.03,11.15,44.03,19.34,8.72,11.36,20.75,12.64,14.86,14.64,13.49,6.74,19.41,8.79,39.48,14.04,27.81,381.45
Builtup,Urban,42.39,22.41,82.29,9.53,120.85,29.45,11.31,8.96,17.67,11.83,18.33,5.70,77.94,16.77,22.69,14.15,45.60,21.65,55.65,635.17
Forest,Deciduous,16.14,5.24,16.60,2.41,57.71,5.58,4.47,2.15,26.91,2.14,16.61,9.38,331.59,0.62,8.77,0.80,5.21,2.81,130.42,645.56
Forest,Evergreen/Semi evergreen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,8.67
Forest,Forest Plantation,0.26,,,,,3.94,,,,,0.11,,,,,,,,,4.31
Forest,Scrub Forest,1.98,0.00,0.00,0.00,20.96,0.24,0.00,0.00,0.00,0.00,0.03,1.80,71.40,0.00,0.36,0.02,0.00,0.00,11.93,108.73
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,5.60,64.56,28.24,24.58,26.08,47.37,16.42,23.77,15.30,3.89,2.87,9.39,1.37,2.93,11.02,22.79,78.56,24.99,6.18,415.92
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.15,1.69,9.78,0.47,3.78,0.16,1.61,0.21,0.02,0.13,0.15,0.00,0.00,0.09,0.27,0.46,2.67,0.47,3.36,25.43
Wet lands / Water bodies,River/Stream/Canals,17.66,4.61,21.67,11.19,10.14,10.11,2.85,7.91,8.10,13.32,8.00,2.54,38.66,5.13,1.53,6.19,21.97,9.71,37.16,238.46
Wet lands / Water bodies,Water bodies,0.99,5.10,4.53,1.33,3.89,4.89,2.26,5.68,5.14,1.51,1.41,0.38,0.69,1.43,0.62,3.48,4.55,3.30,1.84,53.02
