L 1,L 2,Ahmednagar,Akola,Amravati,Aurangabad,Bhandara,Bid,Buldana,Chandrapur,Dhule,Garhchiroli,Gondiya,Hingoli,Jalgaon,Jalna,Kolhapur,Latur,Mumbai City,Mumbai Suburban,Nagpur,Nanded,Nandurbar,Pune,Nashik,Osmanabad,Parbhani,Raigarh,Ratnagiri,Sangli,Satara,Sindhudurg,Solapur,Thane,Wardha,Washim,Yavatmal,Grand Total
Agriculture,Crop land,13172.69,4481.36,6989.25,7501.42,2137.76,7620.53,7065.85,5275.16,4580.19,3407.43,2104.32,4050.93,7561.48,4691.30,4374.29,5674.63,,32.39,5796.42,7277.30,2750.98,8523.93,9086.15,6298.88,6084.65,1494.43,1303.84,6488.52,5487.63,744.18,12385.21,3442.49,4499.52,3795.54,8794.42,184975.05
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,315.72,119.71,886.04,792.88,224.46,1252.04,856.31,175.14,774.34,70.17,214.33,314.73,476.04,1108.14,317.44,446.49,,0.34,543.99,947.22,171.46,1310.24,1453.47,201.39,403.20,514.62,1093.03,425.38,1234.49,606.91,656.61,13.90,293.76,299.82,640.07,19153.88
Agriculture,Plantation,3.22,3.84,292.82,6.09,9.98,14.07,0.16,0.50,5.99,4.29,0.49,3.70,645.85,6.88,8.57,27.76,,7.34,53.13,16.81,,85.68,6.47,17.20,3.49,855.19,2917.21,30.72,,424.29,1.26,740.11,0.42,2.22,0.64,6196.40
Barren/unculturable/ Wastelands,Barren Rocky,252.00,,0.47,17.09,2.23,2.10,0.08,3.48,83.37,0.19,0.12,0.10,11.66,22.35,14.96,0.85,0.30,0.25,5.67,1.18,0.64,76.46,83.07,0.72,0.38,1.44,58.32,186.86,39.22,126.05,118.32,,,3.14,,1113.03
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,8.14,55.83,56.73,0.34,0.31,0.44,36.09,1.42,82.08,,0.15,,168.55,,,0.02,,,7.44,0.32,28.60,0.00,22.05,3.86,0.04,0.00,0.00,5.69,0.00,0.00,1.17,0.00,10.51,0.00,12.13,501.91
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.17,,14.40,,,,2.44,,,,17.06
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.06,,,,,0.67,,,,0.88
Barren/unculturable/ Wastelands,Scrub Land,1465.96,158.48,249.06,463.28,197.45,1192.25,369.92,395.31,613.44,37.19,234.55,415.37,463.11,245.27,1225.72,236.76,,21.38,484.80,619.50,192.62,1924.13,1144.34,523.31,327.83,1575.28,1274.01,783.43,1434.33,614.44,1121.71,1137.07,299.34,472.38,514.28,22427.32
Builtup,Mining,10.31,5.31,4.62,4.84,2.77,3.68,6.21,51.11,2.45,0.70,1.34,1.02,3.26,7.59,8.30,3.80,,1.05,31.51,5.43,2.89,14.69,7.91,3.27,3.92,11.09,17.58,0.78,1.62,11.64,7.24,11.41,4.77,0.27,38.04,292.45
Builtup,Rural,126.40,58.47,75.68,89.34,59.92,94.03,85.18,68.60,56.11,95.40,107.41,45.11,161.43,58.19,74.81,90.49,,1.32,94.67,114.53,64.09,127.79,91.63,75.44,49.21,66.87,171.20,80.72,138.13,127.29,150.90,64.48,59.77,50.43,107.02,2982.07
Builtup,Urban,83.64,49.70,73.32,99.01,30.02,48.15,45.55,128.50,51.10,19.24,17.32,17.07,93.73,23.15,105.04,59.59,144.12,189.86,243.34,67.67,12.16,356.32,223.56,33.00,43.74,109.08,63.72,67.59,44.66,15.84,100.19,212.94,71.09,16.03,65.32,3024.36
Forest,Deciduous,404.57,337.22,2505.59,587.97,1016.96,77.73,675.41,3468.02,655.17,10889.46,2278.27,137.26,1341.67,40.40,329.40,2.84,0.00,44.28,2132.55,882.75,1390.59,1400.49,2303.87,68.46,25.43,273.37,1141.26,61.08,633.86,1217.71,22.02,587.30,693.48,281.92,2554.53,40462.88
Forest,Evergreen/Semi evergreen,28.33,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1223.55,0.00,0.00,31.93,0.00,0.00,0.00,784.88,12.34,0.00,0.00,1222.26,140.69,100.89,752.66,665.60,0.00,2224.64,0.00,0.00,0.00,7188.13
Forest,Forest Plantation,,,1.64,,35.70,,,74.39,2.07,103.30,7.85,,0.14,0.14,4.16,,,,21.90,,,1.59,,,,0.43,,2.17,0.07,0.16,,0.19,,,,255.91
Forest,Scrub Forest,586.02,56.01,837.63,320.85,40.09,138.07,406.24,476.57,994.08,383.31,33.06,148.94,484.20,79.95,150.69,,,0.84,89.52,222.32,324.18,300.79,605.34,3.06,69.69,257.24,33.19,157.26,271.95,3.47,89.27,444.93,186.46,64.08,551.19,8810.53
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,5.00,53.26,,,,,,,,119.67,25.36,,,7.43,,45.21,,,,255.92
Grass / Grazing,Grass / Grazing,,,,,1.53,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.07,,,,,,1.77
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,7.26,49.73,,,,,,,,507.62,36.03,,,11.10,,302.91,,,,914.65
Wet lands / Water bodies,Inland Wetland,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,2.21,0.18,,,,,2.42
Wet lands / Water bodies,River/Stream/Canals,209.92,79.36,117.33,71.56,104.81,92.84,53.49,158.19,133.50,354.48,52.90,49.10,262.59,62.46,66.95,36.30,0.00,7.16,182.28,234.25,63.43,163.23,142.93,38.04,97.39,98.23,98.71,99.96,169.91,63.50,106.73,186.89,97.60,39.76,87.98,3883.76
Wet lands / Water bodies,Water bodies,381.08,50.71,121.45,258.32,87.02,224.09,60.52,213.60,61.08,67.84,209.90,145.65,91.28,71.18,142.97,145.46,0.32,4.82,243.79,112.73,53.35,571.78,346.86,218.22,123.01,41.00,16.79,66.56,275.47,21.10,256.18,140.42,93.29,93.41,218.37,5229.62
