L 1,L 2,Bishnupur,Chandel,Churachandpur,East Imphal,Senapati,Tamenglong,Thoubal,Ukhrul,West Imphal,Grand Total
Agriculture,Crop land,168.63,89.15,112.17,285.00,247.66,77.30,209.97,111.21,253.04,1554.12
Agriculture,Current Shifting cultivation,0.04,229.56,140.72,0.35,12.38,35.80,5.14,67.91,,491.92
Agriculture,Fallow,5.71,0.15,,,,,2.92,,,8.78
Agriculture,Plantation,,6.44,,15.09,5.32,,10.69,,,37.55
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,1.93,433.11,883.35,15.49,564.84,352.36,44.14,844.37,5.47,3145.07
Builtup,Mining,,,,,,,,,,
Builtup,Rural,20.47,20.97,32.97,12.94,47.47,45.33,12.05,31.37,79.36,302.92
Builtup,Urban,5.55,10.48,8.29,34.86,2.12,3.08,0.10,3.10,33.69,101.38
Forest,Deciduous,46.05,2153.81,2613.28,133.01,757.29,2682.52,85.16,3286.41,12.80,11770.32
Forest,Evergreen/Semi evergreen,8.71,192.72,446.41,111.15,964.77,890.17,7.10,156.92,23.77,2799.15
Forest,Forest Plantation,0.36,,,0.37,,,0.86,,,1.58
Forest,Scrub Forest,13.49,153.47,304.93,90.32,656.83,272.44,31.08,20.09,28.86,1571.51
Forest,Swamp / Mangroves,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,,,,,,,2.58
Snow and Glacier,Snow and Glacier,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,177.16,0.00,0.00,1.85,0.00,0.00,82.18,0.00,26.13,287.32
Wet lands / Water bodies,River/Stream/Canals,4.03,23.13,27.87,8.38,14.90,32.01,3.52,22.62,2.23,138.69
Wet lands / Water bodies,Water bodies,43.87,0.00,0.00,0.10,0.00,0.00,19.08,0.00,53.64,116.70
