L 1,L 2,East Garo,EKhasi,Jaintia,RiBhoi,S. Garo,W. Garo,W. Khasi,Grand Total
Agriculture,Crop land,120.77,205.91,112.23,172.14,75.04,457.88,115.91,1259.89
Agriculture,Current Shifting cultivation,32.60,,2.61,64.74,70.72,146.56,0.29,317.52
Agriculture,Fallow,,,,,,0.33,,0.33
Agriculture,Plantation,48.43,,0.28,,0.36,531.94,,581.03
Barren/unculturable/ Wastelands,Barren Rocky,,200.23,27.06,0.01,0.08,,35.71,263.08
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,0.20,1.17,0.09,3.16,,,4.63
Barren/unculturable/ Wastelands,Scrub Land,400.31,175.09,942.50,97.27,25.26,441.76,700.46,2782.66
Builtup,Mining,,0.42,0.41,0.00,0.00,0.00,0.00,0.83
Builtup,Rural,100.62,185.21,99.28,65.07,63.68,37.34,158.76,709.97
Builtup,Urban,4.37,30.63,9.24,6.38,0.00,9.91,6.27,66.81
Forest,Deciduous,1644.39,1867.19,2210.01,1684.61,1231.43,1936.86,4140.13,14714.62
Forest,Evergreen/Semi evergreen,75.39,27.41,288.30,154.39,201.69,11.08,0.36,758.62
Forest,Forest Plantation,,,,13.63,,,,13.63
Forest,Scrub Forest,157.28,2.42,91.89,168.77,148.37,31.85,0.68,601.27
Forest,Swamp / Mangroves,,0.00,0.00,0.00,0.58,0.00,0.00,0.58
Grass / Grazing,Grass / Grazing,,,,,,0.03,,0.03
Snow and Glacier,Snow and Glacier,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,
Wet lands / Water bodies,Inland Wetland,2.05,,,,,60.32,0.00,62.36
Wet lands / Water bodies,River/Stream/Canals,16.02,47.78,30.85,15.32,29.24,45.62,88.43,273.25
Wet lands / Water bodies,Water bodies,0.76,5.49,3.16,5.57,0.38,2.52,0.00,17.89
