L 1,L 2,Aizawl,Champhai,Kolasib,Lawngtlai,Lunglei,Mamit,Saiha,Serchhip,Grand Total
Agriculture,Crop land,151.29,175.19,65.61,61.01,191.10,91.42,50.46,74.89,860.97
Agriculture,Current Shifting cultivation,207.59,182.82,6.04,110.09,196.90,118.07,100.12,92.46,1014.11
Agriculture,Fallow,,,,,,,,,
Agriculture,Plantation,20.77,14.80,2.32,2.97,8.74,3.85,8.04,8.29,69.78
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,,,,
Barren/unculturable/ Wastelands,Scrub Land,7.15,1.38,0.47,4.45,11.28,12.37,2.07,,39.18
Builtup,Mining,,,,,,,,,
Builtup,Rural,22.40,18.27,8.81,13.14,19.34,13.20,8.11,9.39,112.65
Builtup,Urban,35.15,2.98,4.94,2.27,6.58,2.58,3.47,2.97,60.94
Forest,Deciduous,1369.30,422.80,619.12,774.71,2034.82,1419.73,496.57,456.50,7593.55
Forest,Evergreen/Semi evergreen,1019.12,1358.42,270.72,609.15,1159.09,777.51,830.08,409.63,6433.71
Forest,Forest Plantation,18.58,6.83,8.04,13.77,14.22,6.99,6.72,8.82,83.97
Forest,Scrub Forest,709.22,988.89,387.91,296.99,855.18,549.50,421.48,345.18,4554.37
Forest,Swamp / Mangroves,,,,,,,,,
Grass / Grazing,Grass / Grazing,,,,82.93,0.27,10.48,21.79,4.60,120.07
Snow and Glacier,Snow and Glacier,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,15.33,12.61,7.42,19.51,37.33,18.48,15.90,8.27,134.83
Wet lands / Water bodies,Water bodies,0.11,,0.59,,1.16,0.83,0.19,,2.87
