L 1,L 2,Adilabad,Hyderabad,Karimnagar,Khammam,Mahbubnagar,Medak,Nalgonda,Nizamabad,Rangareddy,Warangal,Grand Total
Agriculture,Crop land,6526.11,1.27,6751.72,6369.13,10816.43,5919.37,8091.84,4010.91,3409.9,6143.95,58040.63
Agriculture,Current Shifting cultivation,,,,0.11,,,,,,,0.11
Agriculture,Fallow,1409.29,,449,829.64,2427.07,1062.2,2853.38,557.44,1694.41,1291.36,12573.79
Agriculture,Plantation,35.84,,73.52,491.59,51.05,29.65,148.25,9.51,13.86,19.16,872.43
Barren/uncultur able/ Wastelands,Barren Rocky,25.6,,81.89,34.97,218.64,61.99,160.23,43.22,59.19,85.69,771.42
Barren/uncultur able/ Wastelands,Gullied / Ravinous Land,45.93,,13.38,41.63,2.35,1.52,1.17,12.45,0.33,2.82,121.58
Barren/uncultur able/ Wastelands,Rann,,,,,,,,,,,0
Barren/uncultur able/ Wastelands,Salt Affected Land,,,,,156.18,,101.49,,0.02,0.29,257.98
Barren/uncultur able/ Wastelands,Sandy Area,0.06,,0.26,0.13,,,,,,1.96,2.41
Barren/uncultur able/ Wastelands,Scrub Land,373.59,1.56,753.75,168.28,651.96,821.18,639.85,650.63,519.74,603.46,5184
Builtup,Mining,10.86,0.05,70.11,41.93,37.66,18.03,75.38,12.41,44.46,43.72,354.61
Builtup,Rural,204.5,,324.54,236.72,243.55,160.85,288.13,143.89,127.72,306.82,2036.72
Builtup,Urban,82.33,201.23,85.97,92.99,54.09,95.15,92.74,46.15,677.83,94.98,1523.46
Forest,Deciduous,5496.93,,1871.41,6519.39,1936.65,571.95,180.94,1189.55,332.83,3107.69,21207.34
Forest,Evergreen/Semi evergreen,,,,9.55,,,,,,,9.55
Forest,Forest Plantation,20.04,,32.47,241.32,0.92,35.61,1.56,0.07,54.42,14.04,400.45
Forest,Scrub Forest,1073.64,,365.09,120.29,816,316.98,630.45,551.54,281.09,433.68,4588.76
Forest,Swamp / Mangroves,,,,,,,,,,,0
Grass / Grazing,Grass / Grazing,,0.34,,3.61,,,0,,31.21,,35.16
Snow and Glacier,Snow and Glacier,,,,,,,,,,,0
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,0
Wet lands / Water bodies,Inland Wetland,0.51,,0.06,,0.19,2.92,,11.51,,0.61,15.8
Wet lands / Water bodies,River/Stream/Canals,399.8,2.6,419.43,518.92,250.91,80.81,261.77,145.84,28.35,154.53,2262.96
Wet lands / Water bodies,Water bodies,422.97,9.95,530.4,308.8,768.35,520.79,712.82,570.89,217.63,541.25,4603.85
