L 1,L 2,ANDAMAN,NICOBAR,DELHI,CHANDIGARH,DIU,DAMAN,LAKSHADWEEP,YANAM,PUDUCHERRY,MAHE,KARAIKAL,DADRA&NAGER,UT TOTAL
Agriculture,Crop land,336.67,3.46,469.52,13.91,18.77,18.22,,3.49,150.12,8.41,74.41,120.27,1217.25
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,
Agriculture,Fallow,,,91.55,3.82,0.30,10.80,0.02,0.28,29.05,,38.49,87.39,261.69
Agriculture,Plantation,27.18,51.17,2.43,0.93,0.21,9.23,17.08,7.49,10.43,,3.72,15.95,145.82
Barren/unculturable/ Wastelands,Barren Rocky,,,0.10,,,,,,,,,,0.10
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,6.74,0.07,,0.42,,,0.04,,,,7.26
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,0.15,,3.27,,,,0.10,,,,3.52
Barren/unculturable/ Wastelands,Sandy Area,0.07,8.51,,,,,0.62,,2.43,,,,11.63
Barren/unculturable/ Wastelands,Scrub Land,1.29,,65.45,1.18,0.04,7.68,,0.32,4.66,0.05,4.11,43.40,128.20
Builtup,Mining,,,0.89,0.12,,1.06,,,0.08,,,0.49,2.65
Builtup,Rural,1.70,,49.91,2.79,0.62,0.11,0.03,0.24,19.41,,15.05,0.25,90.11
Builtup,Urban,51.93,11.00,735.90,80.23,2.87,18.35,5.33,2.21,48.79,0.54,15.89,25.97,999.01
Forest,Deciduous,1404.00,77.08,9.09,8.75,,1.13,8.90,,0.17,,,119.11,1628.23
Forest,Evergreen/Semi evergreen,4054.02,1327.23,,,,,,,,,,6.87,5388.11
Forest,Forest Plantation,,,0.38,,,,,,0.03,,,,0.42
Forest,Scrub Forest,61.66,209.23,12.05,,,,,,,,,50.32,333.26
Forest,Swamp / Mangroves,400.10,73.19,,,,0.93,,1.70,,,,,475.92
Grass / Grazing,Grass / Grazing,,,6.24,,,,,,,,,,6.24
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,32.85,56.61,,,5.23,0.01,,1.99,3.87,,2.42,,102.97
Wet lands / Water bodies,Inland Wetland,14.41,0.56,4.10,0.02,7.62,,,0.04,0.00,,,,26.74
Wet lands / Water bodies,River/Stream/Canals,17.34,19.43,24.71,0.75,1.07,3.52,,6.23,7.25,,2.74,8.05,91.07
Wet lands / Water bodies,Water bodies,4.78,3.55,3.79,1.43,0.01,0.56,0.02,6.00,16.58,,3.17,12.88,52.76
