L 1,L 2,Bankura,Barddhaman,Birbhum,Dakshin Dinajpur,Darjiling,East Midnapore,Haora,Hugli,Jalpaiguri,Kochbihar,Kolkata,Maldah,Murshidabad,Nadia,North 24 Parganas,Puruliya,South 24 Parganas,Uttar Dinajpur,West Midnapore,Grand Total
Agriculture,Crop land,4964.52,5557.74,3692.89,1790.54,556.70,3006.88,713.97,2082.18,1941.58,2319.17,,2581.03,3975.19,2598.29,1489.98,4478.02,5372.68,2301.60,5728.39,55151.35
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,0.44,4.07,3.15,1.17,5.98,4.92,1.95,1.18,3.03,4.47,,38.37,26.36,3.32,,11.27,1.55,13.24,35.40,159.87
Agriculture,Plantation,0.55,0.34,8.48,0.58,652.85,15.74,10.32,0.85,955.99,20.63,,324.42,52.05,35.11,0.02,10.80,61.13,135.44,,2285.29
Barren/unculturable/ Wastelands,Barren Rocky,6.24,0.03,2.46,,3.03,,,,,,,,,,,33.19,,,3.53,48.47
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,1.94,0.75,0.83,,,,,,,,,,,,,6.34,,,5.93,15.79
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,0.20,,,0.20
Barren/unculturable/ Wastelands,Sandy Area,1.34,2.16,2.47,0.01,0.14,4.64,,,12.93,0.34,,1.99,3.16,,0.12,,5.02,,4.27,38.60
Barren/unculturable/ Wastelands,Scrub Land,221.24,149.74,83.89,,14.10,0.34,0.02,0.60,31.41,16.98,,2.89,0.01,1.36,0.19,377.85,0.48,11.07,299.78,1211.96
Builtup,Mining,5.39,37.17,11.28,2.69,0.35,8.79,9.22,6.82,2.36,1.51,,3.85,12.39,6.73,16.23,6.27,14.54,2.06,6.71,154.36
Builtup,Rural,473.75,519.78,363.79,326.97,185.84,1159.43,435.73,665.55,683.70,575.59,,495.35,736.96,821.47,689.32,274.93,2342.08,498.42,1412.30,12660.95
Builtup,Urban,24.26,289.98,33.14,14.61,58.13,81.58,199.75,220.63,123.97,32.69,87.22,30.50,83.01,213.94,362.31,32.21,534.22,24.54,106.62,2553.33
Forest,Deciduous,621.20,187.54,101.00,7.81,1358.51,6.33,,2.65,1853.61,36.21,,8.50,5.47,2.67,0.72,678.15,5.11,6.82,1394.28,6276.59
Forest,Evergreen/Semi evergreen,,,,,184.19,,,,,,,,,,,,0.01,,,184.20
Forest,Forest Plantation,170.59,2.17,13.84,,4.09,2.26,,,2.42,,,4.21,1.15,9.77,,39.17,0.88,,275.93,526.49
Forest,Scrub Forest,139.28,18.15,34.62,,16.01,,,,36.27,2.71,,,0.28,0.05,0.07,92.97,2.92,,112.06,455.39
Forest,Swamp / Mangroves,,,,,,7.95,,,,,,,,,934.63,,1029.55,,,1972.13
Grass / Grazing,Grass / Grazing,,0.04,,,8.50,35.22,0.85,0.44,30.23,34.47,,0.78,4.25,0.30,0.09,2.45,,19.93,,137.56
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,62.55,,,,,,,,,11.01,,82.50,,,156.06
Wet lands / Water bodies,Inland Wetland,0.21,8.73,12.31,1.28,1.21,11.86,15.33,26.79,13.04,24.00,,23.06,62.79,59.59,34.12,,8.63,22.19,12.99,338.14
Wet lands / Water bodies,River/Stream/Canals,162.16,208.72,149.01,33.53,97.50,46.55,76.08,132.09,534.53,314.86,16.18,196.98,334.29,152.57,167.20,63.26,329.70,121.29,183.67,3320.16
Wet lands / Water bodies,Water bodies,88.88,36.90,31.84,12.79,1.87,24.97,3.78,9.22,1.91,3.35,0.60,21.06,26.66,21.83,271.99,152.13,366.80,9.40,19.14,1105.13
