L 1,L 2,ANANTAPURAM,Chittoor,East Godavari, Guntur, Krishna, Kurnool,POTTI SRIRAMULU NELLORE,PRAKASAM,SRIKAKULAM,VISAKHAPATNAM,VIZIANAGARAM,WEST GODAVARI,YSR KADAPA,Grand Total
Agriculture,Crop land,12153.88,5997.27,4532.05,7606.67,4954.8,9835.93,4915.71,8809.27,3236.07,2989.92,3481.7,4620.61,5640.43,78774.3
Agriculture,Current Shifting cultivation,,,14.35,,,,,,,,,0.13,,14.48
Agriculture,Fallow,1474.67,1568.22,315.1,349.8,226.7,1627.18,1465.31,830.45,135.7,622.93,235.02,105.2,685.66,9641.95
Agriculture,Plantation,104.28,207.01,1169.5,193.84,928.46,19.82,643.77,548.04,734.32,934.34,779.82,914.47,283.86,7461.52
Barren/unculturable/ Wastelands,Barren Rocky,392.91,256.31,4.4,452.21,1.53,727.95,7.57,117.47,6.22,9.06,17.26,0.28,273.79,2266.97
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,0.53,5.69,5.38,,0.36,10.52,12.95,23.12,5.51,35.68,23.24,7.38,2.91,133.27
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,291.22,67.94,,16.7,0.77,321.44,235.93,225.75,,,,,22.73,1182.48
Barren/unculturable/ Wastelands,Sandy Area,4.76,,25.67,8.58,41.62,,172.96,25.62,76,103.11,17.22,3.31,1.22,480.07
Barren/unculturable/ Wastelands,Scrub Land,1503.07,1648.64,173.68,303.11,124.17,818.92,865.87,1474.29,443.02,1395.13,399.94,49.64,2322.94,11522.4
Builtup,Mining,29.42,83.98,12.11,41.77,10.07,125.57,22.38,25.91,4.95,12.8,13.52,11.91,52.12,446.52
Builtup,Rural,239.67,170.17,322.6,316.7,318.11,275.97,249.87,247.47,109.86,124.15,97.38,300.2,154.29,2926.42
Builtup,Urban,114.51,109.35,151.6,145.12,151.92,76.86,123.61,60.18,21.05,302.27,41.7,100.68,104.28,1503.12
Forest,Deciduous,684.24,2905.4,4478.94,842.42,267.42,2279.15,1235.45,3205.81,333.98,3472.87,792.28,1105.26,3552.08,25155.29
Forest,Evergreen/Semi evergreen,,0.1,96.13,,,,,,,89.22,,65.18,,250.64
Forest,Forest Plantation,0.36,55.54,110.27,23.56,32.23,11,150.19,50.29,14.14,55.48,5.86,152.43,9.85,671.19
Forest,Scrub Forest,1145.08,1358.78,90.42,362.37,132.44,702.15,763.86,971.58,309.67,593.88,297.44,21.75,1370.16,8119.59
Forest,Swamp / Mangroves,,,183.97,51.1,134.27,,2.95,0.58,0.12,,,2.95,,375.93
Grass / Grazing,Grass / Grazing,,,38.17,,,,,,,52.8,,6.75,,97.73
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,45.14,30.89,73.68,,592.39,52.5,50.43,34.25,1.05,7.8,,888.13
Wet lands / Water bodies,Inland Wetland,0.14,,5.57,6.86,206.93,,6.63,17.24,20.1,3.63,0.94,165.93,3.83,437.78
Wet lands / Water bodies,River/Stream/Canals,415.94,151,638.37,369.86,328.54,285.29,412.5,375.5,129.43,155.04,89.52,177.34,350.51,3878.84
Wet lands / Water bodies,Water bodies,575.33,566.61,412.58,269.45,792.98,540.24,1196.1,564.93,206.43,174.45,245.11,687.8,528.35,6760.37
