L 1,L 2,Changlang,East Kameng,East Siang,Kurung Kumey,Lohit,Lower Dibang Valley,Lower Subansiri,Papum Pare,Tawang,Tirap,Upper Dibang Valley,Upper Siang,Upper Subansiri,West Kameng,West Siang,Grand Total
Agriculture,Crop land,542.26,38.57,505.58,23.37,695.88,286.00,53.49,110.73,17.68,34.13,6.57,67.93,45.38,70.07,137.33,2634.98
Agriculture,Current Shifting cultivation,26.65,43.46,32.64,20.39,71.05,10.93,73.17,48.21,16.91,126.60,116.45,18.78,21.99,61.00,86.38,774.60
Agriculture,Fallow,,1.12,13.14,4.43,26.72,0.49,0.55,0.14,,0.77,,,3.53,1.08,20.02,71.99
Agriculture,Plantation,15.70,,8.60,,28.63,1.55,,1.13,,2.32,,0.14,,,0.25,58.31
Barren/unculturable/ Wastelands,Barren Rocky,6.21,7.24,14.54,4.18,80.37,37.32,10.88,7.98,10.56,0.07,4.97,12.87,13.82,18.08,13.32,242.40
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,2.29,0.21,3.11,,11.09,5.24,0.03,0.28,,,0.07,,,0.49,0.93,23.74
Barren/unculturable/ Wastelands,Scrub Land,18.96,23.23,87.36,186.25,77.07,70.00,213.38,18.01,617.15,240.26,63.47,51.23,6.45,870.77,67.45,2611.05
Builtup,Mining,0.90,,,,,,,,,,,,,,,0.90
Builtup,Rural,45.25,15.88,32.01,9.59,85.04,12.87,27.37,27.13,8.48,26.93,7.10,9.13,12.72,30.49,29.11,379.06
Builtup,Urban,6.55,1.29,18.38,1.03,15.41,9.41,3.92,30.72,5.16,10.87,2.66,2.91,4.02,1.21,23.51,137.05
Forest,Deciduous,12.04,,52.60,,54.66,11.88,,9.28,,0.09,0.15,0.17,,0.57,1.23,142.68
Forest,Evergreen/Semi evergreen,3945.81,3875.36,3355.14,5691.70,6326.44,2812.86,2423.35,2523.85,879.95,1401.96,4068.53,4448.63,5484.83,5329.15,6289.34,58856.93
Forest,Forest Plantation,2.26,0.05,0.84,0.03,4.69,0.95,18.76,1.01,,0.06,,0.07,0.08,,0.73,29.52
Forest,Scrub Forest,109.80,52.85,73.54,59.79,102.82,56.47,134.27,46.66,100.87,99.45,71.89,48.50,85.93,226.88,140.38,1410.09
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,96.96,0.75,184.70,312.23,1529.28,314.60,7.57,2.30,19.79,,1525.28,520.56,650.37,7.03,342.21,5513.64
Snow and Glacier,Snow and Glacier,121.58,0.05,,778.93,1906.17,228.22,0.02,,455.86,,3046.27,955.07,677.90,678.99,445.84,9294.89
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,0.36,,,,,,,,,,,,,0.36
Wet lands / Water bodies,River/Stream/Canals,115.50,73.93,304.43,45.97,380.13,210.44,26.68,47.21,31.50,11.48,40.49,52.02,21.68,120.72,44.98,1527.15
Wet lands / Water bodies,Water bodies,0.28,,0.03,3.11,6.56,0.79,0.56,0.35,8.09,,5.11,,3.30,5.47,,33.66
