L 1,L 2,Bastar,Bilaspur,Dantewada,Dhamtari,Durg,Janjgir-Champa,Jashpur,Kanker,Kawardha,Korba,Koriya,Mahasamund,Raigarh,Raipur,Raj Nandgaon,Surguja,Grand Total
Agriculture,Crop land,5656.92,3768.22,5368.84,1631.49,6118.93,2686.94,2333.53,2825.42,2238.15,3228.75,1185.07,2694.05,3647.58,6302.26,3657.16,5272.83,58616.14
Agriculture,Current Shifting cultivation,11.54,,8.87,,,,,,,,,,,,,,20.40
Agriculture,Fallow,155.55,133.33,89.03,40.84,210.00,150.09,224.87,112.79,51.99,88.13,192.64,375.40,111.47,504.61,62.35,495.41,2998.50
Agriculture,Plantation,10.46,25.08,0.41,8.57,34.26,3.75,2.80,0.87,4.94,8.39,,3.29,9.28,45.97,50.10,27.99,236.16
Barren/unculturable/ Wastelands,Barren Rocky,0.50,4.71,3.40,4.53,72.71,7.91,66.81,0.62,8.65,35.38,49.01,55.75,94.26,118.72,14.72,23.16,560.84
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,0.00,0.00,0.00,0.00,0.00,0.36,13.67,0.00,0.00,0.00,8.21,0.00,0.00,0.33,0.00,0.36,22.94
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,0.16,,,0.12,,,,0.29
Barren/unculturable/ Wastelands,Sandy Area,1.96,3.87,1.40,7.03,5.34,10.28,0.00,0.10,3.36,16.81,3.92,5.07,17.34,6.06,1.24,3.65,87.42
Barren/unculturable/ Wastelands,Scrub Land,74.87,321.92,27.49,55.71,421.16,214.04,150.45,124.10,50.78,215.66,277.41,135.55,307.15,431.22,306.60,1178.01,4292.13
Builtup,Mining,0.19,11.11,15.61,0.84,31.62,5.88,0.83,0.51,0.11,98.14,18.39,12.00,38.84,33.67,10.76,14.85,293.38
Builtup,Rural,361.90,338.99,67.24,115.57,312.98,181.40,184.59,114.27,94.18,85.01,130.49,151.26,95.11,337.57,192.53,337.08,3100.17
Builtup,Urban,22.55,77.16,9.54,16.67,159.39,49.77,11.12,7.44,2.74,79.03,27.09,9.37,42.85,263.63,18.44,48.96,845.75
Forest,Deciduous,7833.63,2196.22,11485.23,1870.12,808.05,137.10,2566.63,3010.23,1656.84,4648.80,4449.82,944.51,2495.89,3575.80,2261.03,7406.56,57346.44
Forest,Evergreen/Semi evergreen,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Forest,Forest Plantation,10.55,0.99,0.86,0.24,1.09,,,,0.42,22.68,1.15,,1.15,4.61,0.72,14.28,58.75
Forest,Scrub Forest,700.48,131.38,340.09,67.65,79.20,11.27,192.01,196.78,51.74,128.15,82.48,118.48,93.83,436.70,101.48,636.39,3368.11
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.00,0.00,0.05,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.50
Wet lands / Water bodies,River/Stream/Canals,108.07,67.35,192.75,66.83,52.14,157.03,79.40,80.40,23.31,95.37,153.90,82.52,81.18,260.94,86.06,199.16,1786.38
Wet lands / Water bodies,Water bodies,24.84,134.68,23.19,162.92,229.79,56.19,11.30,32.47,35.78,259.52,24.41,114.62,49.79,184.91,140.82,74.31,1559.54
