L 1,L 2,North Goa,South_Goa,Grand Total
Agriculture,Crop land,334.22,256.03,590.25
Agriculture,Current Shifting cultivation,,,
Agriculture,Fallow,83.66,90.01,173.67
Agriculture,Plantation,,,
Barren/unculturable/ Wastelands,Barren Rocky,29.94,26.48,56.42
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,
Barren/unculturable/ Wastelands,Rann,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,
Barren/unculturable/ Wastelands,Sandy Area,0.22,2.20,2.42
Barren/unculturable/ Wastelands,Scrub Land,146.75,117.98,264.73
Builtup,Mining,40.59,43.78,84.38
Builtup,Rural,12.55,7.37,19.92
Builtup,Urban,132.33,157.72,290.05
Forest,Deciduous,467.01,691.36,1158.37
Forest,Evergreen/Semi evergreen,174.46,447.31,621.78
Forest,Forest Plantation,39.24,1.91,41.15
Forest,Scrub Forest,159.86,48.57,208.42
Forest,Swamp / Mangroves,14.54,1.92,16.46
Grass / Grazing,Grass / Grazing,0.18,0.00,0.18
Snow and Glacier,Snow and Glacier,,,
Wet lands / Water bodies,Inland Wetland,39.46,14.98,54.44
Wet lands / Water bodies,Coastal Wetland,8.16,12.03,20.18
Wet lands / Water bodies,River/Stream/Canals,45.92,23.10,69.02
Wet lands / Water bodies,Water bodies,3.92,26.26,30.18
