L 1,L 2,Ambala,Bhiwani,Charkhi Dadri,Faridabad,Fatehabad,Gurugram,Hisar,Jhajjar,Jind,Kaithal,Karnal,Kurukshetra,Mahendragarh,Nuh,Palwal,Panchkula,Panipat,Rewari,Rohtak,Sirsa,Sonipat,Yamunanagar,Grand Total
Agriculture,Crop land,1335.12,3121.69,1245.87,424.18,2378.39,781.52,3397.35,1562.02,2502.81,2113.89,2273.97,1371.93,1542.61,1181.74,1176.99,328.25,1051.36,1324.56,1497.64,3904.72,1786.99,1355.09,37658.69
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,5.12,40.93,3.39,9.99,10.26,8.20,187.53,36.28,3.83,3.50,10.30,1.83,3.15,5.15,8.02,7.87,9.74,4.73,40.88,68.06,16.74,6.58,492.06
Agriculture,Plantation,22.27,8.06,3.90,2.47,1.65,5.69,6.38,2.90,1.11,4.27,2.05,5.42,3.46,1.05,2.71,2.46,2.07,2.65,3.64,38.13,1.68,21.85,145.87
Barren/unculturable/ Wastelands,Barren Rocky,,0.19,0.05,,,0.05,,,,,,,3.55,0.59,,,,0.20,,,,,4.63
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,0.14,,0.08,,,,,,,0.22
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,0.81,,1.92,0.17,2.21,2.11,1.86,0.09,1.17,,,0.03,12.73,5.35,,5.86,,4.18,6.56,10.95,,55.99
Barren/unculturable/ Wastelands,Sandy Area,,1.14,0.09,0.26,0.23,0.08,3.12,0.45,1.41,,,,2.40,0.05,1.35,0.57,1.77,,4.92,0.62,,5.89,24.33
Barren/unculturable/ Wastelands,Scrub Land,23.99,55.30,44.48,97.10,1.88,118.98,48.15,24.46,2.34,6.33,20.12,6.11,173.38,141.31,26.21,43.90,18.58,74.42,7.16,15.41,25.91,31.04,1006.54
Builtup,Mining,3.82,6.10,1.74,8.11,2.34,2.66,8.80,25.10,5.83,2.99,7.57,5.86,13.53,12.38,7.77,4.54,6.14,12.51,0.17,10.57,17.92,6.33,172.74
Builtup,Rural,36.21,48.62,24.97,21.36,40.20,44.15,106.20,30.96,41.87,49.82,61.14,40.38,62.37,40.20,37.37,13.88,33.42,62.18,34.55,106.06,45.10,40.20,1021.24
Builtup,Urban,95.54,30.64,8.49,155.84,34.88,215.28,128.97,55.33,40.57,45.20,91.44,55.14,31.08,19.87,29.39,78.55,102.83,69.04,74.25,62.44,112.35,65.21,1602.31
Forest,Deciduous,13.21,3.59,,1.55,0.47,13.49,7.42,11.18,5.36,40.08,4.27,21.89,23.05,20.19,1.59,315.87,0.59,11.50,0.77,1.66,0.22,164.78,662.73
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,0.24,,,,,1.39,9.89,,,,,0.25,,,,,,2.83,,0.21,,0.72,15.54
Forest,Scrub Forest,0.10,,0.30,0.27,,51.30,,,,,,,9.06,25.08,,63.09,,0.52,,,,13.05,162.77
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,11.89,71.91,34.83,2.90,38.44,3.81,45.09,58.20,66.03,24.10,7.72,5.26,22.61,26.44,26.81,,8.79,16.93,55.34,26.45,65.52,3.88,622.95
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.37,1.81,1.26,2.07,0.98,3.20,1.21,5.00,1.04,0.02,0.49,0.57,,7.31,10.23,,0.67,1.88,1.23,1.94,1.33,3.90,46.53
Wet lands / Water bodies,River/Stream/Canals,23.95,5.73,0.13,14.30,24.64,2.00,13.23,7.89,12.08,14.92,34.65,10.46,7.08,8.06,18.42,36.58,19.81,4.29,5.03,21.35,25.79,47.37,357.72
Wet lands / Water bodies,Water bodies,2.17,6.49,1.50,2.68,3.47,3.99,17.54,12.37,17.64,10.70,6.29,4.92,1.65,4.73,6.81,2.37,6.38,5.76,15.23,12.83,11.51,2.10,159.13
