L 1,L 2,Anantnag,Badgam,Baramulla,Doda,Jammu,Kargil,Kathua,Kupwara,Leh,POK,Poonch,Pulwama,Rajouri,Srinagar,Udhampure,Grand Total
Agriculture,Crop land,575.87,555.65,450.46,620.13,1452.13,61.53,907.53,317.51,223.48,2720.28,436.64,529.83,745.16,187.35,1519.85,11303.39
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,
Agriculture,Fallow,4.31,1.34,5.13,15.47,19.34,,4.01,0.12,0.59,,0.20,0.98,,0.54,2.83,54.86
Agriculture,Plantation,394.95,101.96,353.09,114.76,68.74,12.93,70.76,95.15,11.68,447.36,5.87,279.34,56.69,139.79,57.34,2210.41
Barren/unculturable/ Wastelands,Barren Rocky,770.13,36.34,698.33,1825.39,5.51,9047.02,100.63,183.10,36494.75,92097.83,169.25,66.12,35.33,459.57,170.56,142159.87
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,1.83,15.39,,,6.66,,89.48,,346.33,341.10,,20.38,118.00,,10.10,949.26
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,72.31,78.35,,,,,,150.66
Barren/unculturable/ Wastelands,Sandy Area,0.38,,0.09,0.53,17.40,73.31,8.90,0.52,2041.33,3392.63,1.36,,3.40,3.62,4.03,5547.50
Barren/unculturable/ Wastelands,Scrub Land,106.59,15.98,194.92,772.91,95.34,2142.07,232.43,66.08,1211.68,1447.97,186.54,9.24,234.90,49.72,362.40,7128.77
Builtup,Mining,0.05,3.34,0.08,,2.77,,0.70,0.21,,,,1.56,,3.15,,11.87
Builtup,Rural,47.66,25.18,60.69,7.77,62.55,3.78,22.58,13.44,1.21,,4.63,36.19,11.97,28.92,6.12,332.67
Builtup,Urban,14.59,64.03,35.24,8.21,120.77,1.84,18.89,2.99,13.27,,13.73,17.04,7.99,61.49,15.63,395.71
Forest,Deciduous,,0.81,0.00,0.12,237.88,,33.61,2.80,1.61,0.00,0.03,,70.76,1.83,204.94,554.39
Forest,Evergreen/Semi evergreen,1093.49,167.59,1095.71,3914.37,250.91,,687.20,1042.40,,0.00,631.90,252.07,855.40,504.12,1545.21,12040.37
Forest,Forest Plantation,,,,0.52,2.92,,,6.21,,12425.44,0.00,,0.00,3.97,,12439.07
Forest,Scrub Forest,656.02,62.72,1395.60,2262.28,505.83,0.44,257.33,567.76,8.45,1479.04,160.38,99.00,422.44,498.19,379.87,8755.35
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,0.42,0.42
Grass / Grazing,Grass / Grazing,180.24,270.18,70.64,43.34,0.03,88.96,4.67,40.30,,,29.54,13.93,12.67,62.63,73.16,890.27
Snow and Glacier,Snow and Glacier,43.38,6.66,68.26,2048.14,,2510.92,14.95,19.87,3627.57,32.59,11.43,38.93,3.90,108.97,57.12,8592.69
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,3.06,23.80,93.64,,52.88,,0.51,0.13,213.35,2.54,,3.17,,67.48,,460.56
Wet lands / Water bodies,River/Stream/Canals,63.11,18.14,41.01,51.54,194.99,89.15,146.71,19.72,272.75,622.50,21.87,30.03,51.06,25.25,139.42,1787.26
Wet lands / Water bodies,Water bodies,28.34,1.91,25.10,6.10,0.35,4.05,50.10,0.71,569.64,5761.38,0.63,0.19,0.34,21.39,0.98,6471.22
