L 1,L 2,Bokaro,Chatra,Deoghar,Dhanbad,Dumka,Garhwa,Giridih,Godda,Gumla,Hazaribag,Jamtara,Koderma,Latehar,Lohardaga,Pakur,Palamu,Pashchim Singhbhum,Purba Singhbhum,Ranchi,Sahibganj,Saraikela Kharsawan,Simdega,Grand Total
Agriculture,Crop land,1340.85,987.49,1414.05,1561.54,2517.62,1520.62,1782.08,1167.82,2370.94,1625.97,1222.80,830.09,1081.66,722.36,1086.71,2045.27,2351.27,1452.68,3647.48,801.44,1161.05,1073.89,33765.66
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,247.06,246.68,198.95,246.04,325.87,288.80,446.05,172.72,724.25,356.57,163.69,59.79,304.37,136.95,112.41,177.03,403.13,283.31,515.97,55.54,264.01,579.47,6308.66
Agriculture,Plantation,10.67,0.38,6.36,6.36,2.51,0.26,15.52,2.74,0.46,1.77,6.85,2.79,0.26,0.05,0.30,5.51,,0.21,2.31,6.09,0.46,0.01,71.84
Barren/unculturable/ Wastelands,Barren Rocky,3.32,3.29,9.44,4.68,12.42,29.03,8.04,14.88,114.21,15.07,9.04,2.40,2.53,3.17,6.00,49.00,12.07,8.12,68.93,3.02,5.77,16.82,401.24
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,1.61,51.62,21.93,0.97,4.78,25.76,29.55,0.20,9.76,50.40,0.60,13.43,57.38,5.08,0.30,2.27,,,1.24,,0.10,0.29,277.24
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,,,,,0.02,,,,,,,,,,,,,,,,,0.02
Barren/unculturable/ Wastelands,Scrub Land,276.01,147.26,357.72,256.35,199.16,167.61,271.17,178.75,243.04,321.54,105.76,204.16,262.08,32.45,103.69,197.58,317.62,186.85,319.50,69.45,161.67,371.23,4750.66
Builtup,Mining,35.15,16.54,3.35,116.04,16.99,3.93,4.20,5.61,20.55,56.81,1.90,21.30,3.81,8.16,21.18,4.10,28.85,6.63,44.22,13.80,7.65,36.93,477.70
Builtup,Rural,92.45,48.57,149.90,141.38,311.90,85.34,191.37,121.40,128.70,145.42,92.13,50.82,43.51,67.23,131.91,128.91,252.54,146.79,339.59,59.68,101.25,93.06,2923.84
Builtup,Urban,128.62,14.11,42.16,224.81,17.42,12.35,28.61,17.27,12.67,99.96,7.87,36.48,13.41,11.17,7.56,24.06,28.71,115.89,208.96,15.54,49.61,7.02,1124.27
Forest,Deciduous,393.35,1333.56,74.09,204.78,735.00,1321.07,682.38,331.79,1397.01,1628.40,77.72,1094.82,1954.24,441.79,283.12,1186.53,3599.83,1063.97,2099.40,405.19,631.46,1177.81,22117.30
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,0.05,,,,,0.05
Forest,Forest Plantation,0.15,0.03,1.84,0.69,0.45,0.17,7.19,0.84,,9.06,0.60,9.90,,1.48,,1.81,,5.50,0.46,,2.72,0.25,43.15
Forest,Scrub Forest,232.21,800.17,122.86,82.76,131.44,464.02,482.69,61.73,202.50,475.30,52.80,170.06,454.89,46.20,31.06,443.78,177.89,161.56,304.85,43.95,102.70,339.41,5384.84
Forest,Swamp / Mangroves,0.14,,,,,,,,,,,,,,,,,,,,,,0.14
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,0.04,,,,,,,,,,,,,,,,,,12.73,,,12.76
Wet lands / Water bodies,River/Stream/Canals,49.62,41.41,59.88,58.03,56.75,98.48,70.56,25.17,82.81,56.74,24.51,43.95,60.69,10.51,16.40,160.06,70.33,77.27,96.44,105.90,60.66,46.17,1372.34
Wet lands / Water bodies,Water bodies,49.81,14.85,13.48,91.58,79.69,26.52,9.60,7.09,14.11,70.00,33.72,5.01,11.19,4.41,4.36,29.09,24.77,24.16,48.64,7.67,90.89,13.64,674.30
