L 1,L 2,Bagalakote,Ballari,Belagavi,Bengaluru,Bengaluru Rural,Bidar,Chamarajanagar,Chikkaballapura,Chikkamagaluru,Chitradurga,Dakshina Kannada,Davanagere,Dharwad,Gadag,Hassan,Haveri,Kalaburagi,Kodagu,Kolar,Koppal,Mandya,Mysuru,Raichur,Ramanagara,Shivamogga,Tumakuru,Udupi,Uttara Kannada,Vijayapura,Yadgir,Grand Total
Agriculture,Crop land,4960.43,5211.85,10059.93,588.00,998.64,4686.95,2046.26,2415.69,1943.26,5278.03,202.83,3823.45,3375.96,3712.21,3370.03,3843.23,9641.00,639.36,2188.69,5210.03,3273.74,3968.18,5768.47,1257.45,2406.90,5363.21,675.36,1202.99,9126.70,4242.17,111481.00
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,21.49,282.26,244.50,28.05,94.01,10.37,191.66,277.97,7.66,173.57,6.89,57.81,123.73,361.60,30.78,53.54,134.07,2.19,166.25,588.17,20.34,28.98,70.48,6.55,19.81,116.52,16.76,2.34,539.82,46.89,3725.09
Agriculture,Plantation,7.34,41.55,65.91,325.77,743.67,16.30,218.06,264.41,1886.48,873.42,1883.97,793.76,50.09,4.83,1965.84,106.44,2.29,256.61,597.94,24.80,616.75,573.85,11.42,933.94,1366.56,2740.96,728.07,356.45,106.26,15.97,17579.74
Barren/unculturable/ Wastelands,Barren Rocky,84.46,570.85,2.05,2.29,14.35,0.50,21.51,120.22,10.76,111.26,16.11,4.54,,13.96,18.40,0.17,9.58,18.67,88.02,145.60,22.35,3.77,163.99,108.82,4.94,168.89,25.61,57.86,35.86,97.83,1943.20
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,2.59,11.57,2.60,1.94,5.89,,1.89,17.72,3.03,11.47,,3.82,0.04,3.23,1.18,3.58,4.14,,10.26,0.15,0.69,2.88,0.21,1.38,,9.17,,0.11,5.45,6.33,111.31
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,15.62,102.50,15.85,,0.75,0.11,19.46,3.44,11.40,108.81,,26.31,,5.44,1.02,0.58,9.21,,2.50,109.33,1.02,5.37,71.95,0.91,0.07,37.85,,,3.88,128.68,682.06
Barren/unculturable/ Wastelands,Sandy Area,,1.74,,,,,0.58,,0.07,,1.55,0.00,,0.02,,0.00,,,0.10,,,0.72,,,,0.16,0.74,1.49,,,7.16
Barren/unculturable/ Wastelands,Scrub Land,179.95,665.66,577.00,83.35,56.33,326.13,223.22,377.03,165.71,604.30,87.01,178.83,51.87,82.31,253.08,67.51,406.63,15.32,168.06,426.35,250.73,107.68,254.65,276.30,174.35,537.81,44.23,36.05,148.54,250.07,7076.07
Builtup,Mining,16.23,85.75,13.49,29.06,20.82,1.46,8.46,56.25,11.41,19.05,5.37,14.68,4.78,5.08,13.15,8.84,39.13,0.81,41.82,24.84,22.41,9.14,6.57,25.04,10.57,31.11,3.95,7.21,9.26,6.94,552.68
Builtup,Rural,93.50,125.69,229.72,68.41,60.32,95.68,66.01,70.47,101.92,96.45,222.21,142.04,77.00,66.63,146.13,155.51,118.14,80.74,68.40,115.89,181.38,140.30,63.40,87.72,343.16,213.76,16.03,60.26,97.53,57.87,3462.30
Builtup,Urban,85.04,134.95,117.42,821.90,63.63,55.08,13.97,20.07,33.98,48.15,162.61,64.66,108.83,39.06,48.59,39.68,102.13,22.38,56.62,53.78,35.31,163.20,45.59,39.58,72.18,70.35,90.03,153.18,60.46,19.11,2841.52
Forest,Deciduous,62.32,7.19,535.48,97.23,8.96,18.35,2293.55,3.25,1656.86,425.11,933.17,229.79,301.86,10.99,299.43,141.42,113.02,1982.27,12.04,10.73,144.64,95.78,4.86,484.32,2028.95,492.13,1011.90,2276.62,,39.07,15721.28
Forest,Evergreen/Semi evergreen,,,576.95,1.05,,,341.07,,894.66,,1032.78,,,,174.22,30.76,,797.39,,,,768.57,,0.44,1013.91,,808.60,4511.13,,,10951.54
Forest,Forest Plantation,47.91,110.35,91.84,9.61,61.23,57.48,2.14,15.54,147.54,143.46,55.44,69.93,18.53,40.25,56.61,190.22,4.89,66.28,119.22,0.38,59.84,19.67,0.31,42.59,289.89,32.24,11.06,849.58,6.82,4.97,2625.80
