L 1,L 2,AHMADNAGAR,AKOLA,AMRAVATI,AURANGABAD,BHANDARA,BID,BULDANA,CHANDRAPUR,DHULE,GARHCHIROLI,GONDIYA,HINGOLI,JALGAON,JALNA,KOLHAPUR,LATUR,MUMBAI CITY,MUMBAI SUBURBAN,NAGPUR,NANDED,NANDURBAR,NASHIK,OSMANABAD,PARBHANI,PUNE,RATNAGIRI,RAYGAD,SANGLI,SATARA,SINDHUDURG,SOLAPUR,THANE,WARDHA,WASHIM,YAVATMAL,Grand Total
Agriculture,Crop land,12644.28,4457.25,7008.66,7136.98,2279.53,7802.39,7553.75,5356.58,4391.46,3331.38,2249.51,4133.97,7303.88,5004.35,4309.46,5650.68,,4.77,6038.41,7793.09,2436.05,9495.11,6254.66,6155.01,8792.62,1314.75,1792.60,6440.04,5400.52,569.41,12341.44,3158.73,4444.48,3820.43,9088.76,185955.00
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,868.23,149.02,862.92,1016.17,139.33,1150.17,301.75,108.66,905.96,107.89,173.41,314.15,758.35,712.61,268.84,465.91,,0.58,288.02,614.31,533.70,1055.93,284.75,391.69,658.60,627.92,566.18,414.18,1132.07,658.28,674.39,107.69,355.95,308.15,220.83,17196.54
Agriculture,Plantation,10.72,4.29,279.87,51.21,1.68,9.12,0.75,1.05,5.07,4.36,0.83,3.29,619.78,40.86,8.01,7.34,,1.45,60.68,7.88,1.34,10.07,15.13,3.41,8.04,2263.55,909.47,5.11,0.84,600.28,4.00,535.50,0.31,4.75,1.77,5481.80
Barren/unculturable/ Wastelands,Barren Rocky,255.42,,0.41,16.23,0.54,1.73,0.25,2.66,82.41,0.64,1.89,0.82,12.16,24.15,12.50,1.49,0.08,0.32,6.21,12.19,0.64,87.17,66.75,5.61,71.76,51.29,7.57,211.89,56.68,124.45,111.89,,,3.04,2.47,1233.29
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,8.17,48.94,60.31,0.27,0.16,0.33,42.64,1.98,67.81,,,,170.29,,,0.03,,1.13,5.60,0.01,24.61,21.48,3.57,0.38,,,0.16,5.79,,,0.99,,8.26,,11.94,484.87
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,0.18,11.58,,,,21.93,,,,33.77
Barren/unculturable/ Wastelands,Sandy Area,,,0.11,,,,,,,,,,,,,,0.04,0.05,,,,,,,,0.09,0.28,,,0.31,,0.32,,,,1.19
Barren/unculturable/ Wastelands,Scrub Land,1367.95,120.83,196.22,392.77,119.60,1066.09,288.22,324.16,590.88,40.59,193.03,321.26,373.23,192.07,1130.14,205.56,,17.97,338.92,416.84,155.73,813.44,336.79,239.30,2010.43,1032.21,1728.24,752.71,1454.60,683.81,1019.47,1067.23,239.35,310.02,445.90,19985.55
Builtup,Mining,14.38,6.04,6.72,8.32,5.93,5.23,6.06,55.83,3.20,1.13,1.52,1.32,4.48,7.85,11.97,3.62,,0.47,41.65,4.95,1.88,11.82,3.22,5.27,35.04,20.78,18.72,2.40,4.35,19.34,6.74,22.08,6.31,0.35,45.60,394.59
Builtup,Rural,121.84,56.79,80.11,98.04,66.03,90.53,103.19,86.45,82.58,96.50,114.86,44.42,177.50,74.06,147.30,86.82,,0.68,111.93,109.42,69.20,118.39,79.21,44.76,141.26,152.12,95.32,84.66,185.51,193.61,146.19,126.27,62.54,47.65,111.56,3407.32
Builtup,Urban,123.59,57.37,82.37,146.18,38.97,74.04,65.01,141.08,63.38,20.11,24.98,20.95,127.96,38.49,136.90,72.71,65.64,216.60,328.40,71.09,20.54,284.90,34.71,53.42,790.42,57.61,189.79,93.01,79.06,18.05,143.33,414.47,85.95,18.11,73.65,4272.82
Forest,Deciduous,440.34,374.58,2545.44,614.80,1018.76,125.55,744.42,3460.74,588.59,11009.61,2159.07,144.39,1305.52,51.19,345.35,16.41,,48.13,2168.68,907.53,1365.53,2420.01,108.73,27.76,1274.18,1384.24,631.45,112.12,666.24,1369.11,63.14,827.84,796.84,418.59,2675.60,42210.48
Forest,Evergreen/Semi evergreen,30.18,,,,,,,,,,,,,,1311.21,,,9.40,,,,18.14,,,828.44,39.89,1375.24,73.82,810.20,295.32,,2158.92,,,,6950.77
Forest,Forest Plantation,,,2.16,,7.13,,,117.91,3.13,104.99,4.73,,0.10,0.07,0.58,,,,8.27,,0.27,,0.09,,1.71,,0.08,2.35,0.07,,,0.60,0.37,,,254.62
Forest,Scrub Forest,599.30,49.34,808.82,314.71,37.30,89.80,361.29,402.49,1089.52,340.74,39.23,148.22,474.29,75.96,146.50,,,0.08,60.88,206.15,309.91,675.76,2.85,69.22,304.13,21.13,247.74,173.15,231.11,0.57,94.48,361.36,95.60,49.77,523.83,8405.22
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,2.60,54.64,,,,,,,,25.29,143.17,,,8.82,,61.94,,,,296.46
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,0.61,,,,,,,,,,88.53,81.78,,,0.80,,,,,44.80,525.00,,,27.68,,364.79,,,,1133.99
Wet lands / Water bodies,Inland Wetland,,,0.21,,2.12,,0.10,,0.03,,0.52,,,,,,,,0.28,,,1.10,,,,,,,,1.70,,0.20,,,0.50,6.74
Wet lands / Water bodies,River/Stream/Canals,207.37,76.48,133.84,73.38,118.17,94.78,54.82,217.49,128.81,305.66,43.67,47.30,256.32,62.87,66.09,47.58,,0.20,190.31,233.16,67.40,144.81,44.42,106.72,160.73,85.82,111.18,104.29,180.02,57.97,123.03,189.13,92.05,39.89,102.45,3968.20
Wet lands / Water bodies,Water bodies,356.23,55.08,143.84,343.94,115.76,250.25,138.13,212.92,92.17,69.41,254.76,148.92,181.13,132.47,152.15,166.86,0.11,7.66,282.74,125.39,67.41,371.87,250.15,129.45,564.64,26.49,48.63,84.90,282.72,34.29,287.92,139.01,122.00,98.25,279.14,6016.79
