L 1,L 2,Angul,Baleshwar,Baragarh,Bhadrak,Bolangir,Boudh,Cuttack,Deogarh,Dhenkanal,Gajapati,Ganjam,Jagatsinghpur,Jajpur,Jharsuguda,Kalahandi,Kandhamal,Kendrapara,Keonjhar,Khordha,Koraput,Malkangiri,Mayurbhanj,Nabarangpur,Nayagarh,Nuapada,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh,Grand Total
Agriculture,Crop land,2576.48,2589.24,4258.33,1993.20,4068.63,1382.91,2068.41,1253.53,2428.27,1039.76,4197.13,1090.61,1890.74,958.60,3870.03,2176.45,1883.24,3397.32,1335.02,4459.25,2561.52,5315.25,2903.68,1527.31,1911.35,1396.18,2361.35,2910.95,1542.68,4756.63,76104.07
Agriculture,Current Shifting cultivation,,,,,,0.57,,,,137.67,55.69,,,,30.44,150.56,,10.66,0.15,91.68,214.62,,10.65,0.28,,,13.82,,,,716.77
Agriculture,Fallow,25.60,5.48,6.96,,208.74,47.15,36.11,7.74,8.72,29.96,40.45,2.68,60.15,28.97,396.22,37.01,4.21,267.83,38.21,53.56,289.61,130.94,60.24,31.47,22.77,230.79,11.54,29.91,102.33,71.42,2286.76
Agriculture,Plantation,1.73,3.29,0.64,20.06,3.31,0.35,4.28,1.12,27.20,10.85,52.97,1.94,8.72,3.40,3.17,1.96,4.44,48.26,30.07,7.71,4.11,9.20,6.05,1.54,0.24,73.80,0.41,0.51,0.40,5.93,337.64
Barren/unculturable/ Wastelands,Barren Rocky,3.19,1.13,8.80,,39.82,5.26,1.74,9.63,6.30,24.73,30.81,,1.36,0.26,70.34,9.64,,25.47,3.58,28.36,34.47,78.80,5.56,42.98,14.81,,10.86,1.75,12.05,7.01,478.70
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,133.55,1.94,7.94,0.15,8.55,,3.28,33.66,34.63,23.83,87.02,,0.31,1.02,21.27,2.64,,83.88,0.02,67.80,1.33,1.03,7.34,42.28,0.35,,98.61,32.74,14.39,8.01,717.57
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,10.62,,,,,4.90,,,,,,,,,,,,,,15.52
Barren/unculturable/ Wastelands,Sandy Area,,10.75,,,,,0.07,,,,10.44,10.08,0.72,,,,6.52,,,,,,,,,15.79,,,,,54.36
Barren/unculturable/ Wastelands,Scrub Land,234.69,53.77,182.28,3.99,592.79,202.14,145.70,149.77,446.20,972.43,478.84,5.65,110.16,214.37,529.15,599.65,7.63,796.40,308.08,1250.28,473.48,232.45,395.26,401.00,241.32,37.60,1072.70,307.05,102.58,244.38,10791.78
