L 1,L 2,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittaurgarh,Churu,Dausa,Dhaulpur,Dungarpur,Ganganagar,Hanumangarh,Jaipur,Jaisalmer,Jalor,Jhalawar,Jhunjhunun,Jodhpur,Karauli,Kota,Nagaur,Pali,Rajsamand,Sawai Madhopur,Sikar,Sirohi,Tonk,Udaipur,Grand Total
Agriculture,Crop land,4206.80,5374.41,2892.34,3610.65,6792.33,4031.67,4169.85,9561.26,2914.55,5183.61,8128.89,2343.73,1510.41,1730.10,7501.36,6041.37,5275.65,6210.05,7149.24,3235.25,3754.63,10027.28,2444.98,2992.26,11838.78,5596.43,1663.69,2897.00,5288.27,1876.98,3766.57,3759.81,153770.22
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,1271.37,453.34,195.00,550.36,16041.95,291.37,2402.70,9622.20,292.56,1207.20,7750.33,387.98,266.65,106.83,1894.74,3001.90,2425.22,6758.73,1699.68,572.02,1041.52,8086.84,410.75,402.56,3828.06,3139.46,491.91,407.44,1011.22,533.67,1811.73,357.27,78714.59
Agriculture,Plantation,8.45,1.66,,0.03,2.95,0.57,17.83,0.58,0.57,2.85,0.12,0.26,0.96,,5.44,0.52,1.16,19.52,0.50,12.53,0.12,11.74,0.05,0.14,0.34,26.95,,0.61,0.10,0.13,0.10,,116.75
Barren/unculturable/ Wastelands,Barren Rocky,167.93,224.91,91.08,29.34,392.53,86.99,205.35,20.20,57.16,88.61,3.48,14.75,21.89,46.82,,,66.86,1225.30,173.29,10.00,26.61,495.10,45.71,5.23,58.91,264.08,357.56,9.09,25.97,102.97,13.90,222.65,4554.26
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,31.68,92.30,9.15,56.78,21.94,3.31,11.81,83.08,171.90,,3.97,11.65,102.75,,,,191.45,,55.38,5.21,58.22,6.52,46.89,15.98,29.73,9.11,,116.33,82.27,45.05,57.21,,1319.67
Barren/unculturable/ Wastelands,Rann,,,,,3.84,,,,,,,,,,,,,36.80,59.35,,,,,,,,,,,,,,100.00
Barren/unculturable/ Wastelands,Salt Affected Land,28.77,2.08,,,173.43,3.08,,,,2.61,18.89,0.37,,,,,68.77,135.25,73.60,,,63.48,,,119.52,92.65,,0.13,10.60,9.12,,,802.33
Barren/unculturable/ Wastelands,Sandy Area,9.14,0.05,,37.17,2292.22,0.61,,6225.65,0.35,,27.17,0.41,,0.19,952.60,146.57,15.84,12130.91,124.40,,20.75,1540.95,0.08,0.29,96.77,37.33,0.04,6.61,22.40,21.65,1.98,0.55,23712.70
Barren/unculturable/ Wastelands,Scrub Land,1612.95,535.22,316.73,287.83,1879.62,381.07,2097.02,576.46,307.33,995.94,368.59,255.27,424.96,816.64,136.59,62.50,847.43,11182.59,385.13,902.96,348.87,1368.27,438.74,398.15,684.85,1493.04,1447.97,251.01,413.66,770.79,566.14,2423.81,34978.11
