L 1,L 2,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kancheepuram,Kanniyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thiruvallur,Thiruvarur,Thoothukudi,Tiruchchirappalli,Tirunelveli Kattabo,Tiruvannamalai,Vellore,Villupuram,Virudhunagar,Grand Total
Agriculture,Crop land,1004.49,1.78,1631.45,2057.04,1912.55,2213.67,3528.71,2215.46,315.26,1675.44,2233.97,1787.86,1590.73,1959.94,167.16,1207.24,2467.94,1543.02,2446.54,1790.13,2149.47,1036.93,1862.61,1512.95,2628.61,2575.52,2499.64,3107.44,2135.78,3991.69,2174.52,59425.55
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,90.87,0.98,1805.25,179.56,736.75,945.08,1520.82,176.22,110.60,684.39,490.09,555.56,63.96,460.74,242.26,146.84,662.33,970.17,609.42,1046.84,298.46,400.56,110.35,72.72,742.53,498.78,1517.83,1006.88,854.97,973.27,1078.71,19053.81
Agriculture,Plantation,353.92,0.35,1571.05,560.22,45.32,805.09,432.81,118.32,399.11,51.69,452.61,151.47,225.11,104.04,755.47,16.24,257.86,552.01,155.41,226.51,198.16,595.92,79.82,66.95,255.95,112.84,190.57,46.78,686.95,336.60,132.60,9937.76
Barren/unculturable/ Wastelands,Barren Rocky,,,18.58,1.09,24.12,7.38,5.33,2.92,21.82,2.16,44.05,22.60,,18.58,2.29,3.35,2.17,,11.52,2.42,,19.68,2.39,,2.92,8.64,25.25,57.85,11.97,13.97,5.10,338.16
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,25.49,,9.49,24.08,,,0.36,1.21,,2.00,,,,,1.49,64.17,0.28,,2.73,1.27,0.24,,0.11,,9.78,24.02,6.64,,0.08,5.54,3.31,182.29
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,1.72,,0.93,5.96,1.48,0.27,0.78,44.20,,1.01,1.28,8.45,,0.37,,4.93,40.15,8.44,0.13,21.56,3.40,,7.97,,4.99,12.74,33.79,9.14,3.49,35.44,59.27,311.89
Barren/unculturable/ Wastelands,Sandy Area,1.81,3.26,,13.60,,,0.02,19.60,5.22,0.77,,2.36,7.22,0.39,0.03,,15.50,81.86,,0.98,7.76,,12.83,0.42,87.50,0.88,29.65,0.23,0.68,9.65,3.54,305.76
Barren/unculturable/ Wastelands,Scrub Land,20.40,0.44,248.60,20.75,291.99,365.34,133.71,148.52,49.38,134.52,375.94,226.99,0.51,64.59,54.61,32.42,70.18,42.88,196.24,77.59,10.39,475.61,191.14,4.21,119.25,64.76,284.38,94.60,207.92,87.11,87.20,4182.17
Builtup,Mining,41.07,0.02,45.91,76.94,4.58,25.18,25.40,33.11,6.02,29.54,42.98,13.14,0.83,21.03,,11.16,24.58,,33.74,1.31,1.50,2.47,7.50,,17.25,22.21,38.57,7.96,15.80,31.08,17.06,597.95
Builtup,Rural,102.02,0.02,350.75,260.83,73.10,179.10,227.41,406.87,274.88,207.00,95.11,253.81,309.55,180.68,35.47,50.24,236.39,152.62,203.44,116.57,325.56,43.78,272.76,251.18,159.87,229.22,362.12,174.09,260.08,246.08,96.73,6137.33
Builtup,Urban,9.16,154.43,363.65,75.15,13.93,53.37,115.72,336.84,36.52,36.91,67.23,113.09,31.12,83.32,12.82,7.69,37.09,12.38,86.33,62.52,81.30,24.91,279.39,13.09,68.44,139.12,73.91,27.73,115.60,41.23,74.08,2648.07
Forest,Deciduous,3.00,2.54,784.39,10.04,1144.35,901.29,718.09,68.64,68.32,73.69,1077.08,326.40,0.23,268.66,711.22,72.52,10.64,13.53,953.22,38.74,1.06,273.81,68.13,,33.14,331.36,592.21,845.30,1125.92,557.90,127.29,11202.70
Forest,Evergreen/Semi evergreen,0.17,,513.90,0.39,204.85,200.90,1135.57,0.72,156.69,1.94,2.10,40.16,,152.43,234.57,66.11,,,355.19,,,82.87,18.22,,0.26,62.89,628.97,229.71,234.13,59.89,91.02,4473.66
Forest,Forest Plantation,68.94,,9.36,50.45,1.02,208.58,3.21,68.41,154.28,,4.25,,,,288.36,0.87,112.00,,3.63,82.39,0.49,40.90,10.57,,6.36,7.62,21.59,20.02,12.79,132.83,12.86,1321.79
Forest,Scrub Forest,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.07,,,0.10
Forest,Swamp / Mangroves,,0.76,,14.50,,0.03,,3.46,,,0.02,,24.82,,,,1.76,4.51,,,10.52,,3.03,14.95,1.28,,,,,,,79.64
Grass / Grazing,Grass / Grazing,,,2.88,,,12.40,141.64,,,42.93,,,,,,,,,,,,,,,,,,,,0.12,,199.97
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,0.16,1.21,,13.67,,,,74.09,2.75,,0.04,,243.15,,,,7.76,84.12,,,27.73,,86.74,53.24,114.45,,0.78,,,4.06,,713.93
Wet lands / Water bodies,Inland Wetland,,,,6.76,,0.03,0.61,0.36,4.38,,,,51.91,0.31,,0.06,0.90,33.43,0.05,0.26,0.43,,0.65,25.08,4.10,,,0.47,,,,129.79
Wet lands / Water bodies,River/Stream/Canals,62.69,4.29,42.44,124.07,28.91,16.31,71.91,109.96,7.70,31.27,50.34,18.22,94.30,62.10,12.17,17.59,41.56,48.15,27.49,52.96,120.96,11.55,67.33,53.08,64.61,153.64,43.35,49.08,112.34,110.19,40.35,1750.93
Wet lands / Water bodies,Water bodies,64.09,0.92,69.37,149.88,133.04,123.98,102.89,604.09,61.08,28.73,88.90,253.90,74.56,52.81,31.10,49.57,674.90,513.85,134.91,666.96,159.57,58.01,341.42,30.12,269.71,141.75,475.27,513.75,298.44,617.82,279.36,7064.75
