L 1,L 2,Agra,Aligarh,Allahabad,Ambedkar Nagar,Auraiya,Azamgarh,Badaun,Baghpat,Bahraich,Ballia,Balrampur,Banda,Bara Banki,Bareilly,Basti,Bijnor,Bulandshahr,Chandauli,Chitrakoot,Deoria,Etah,Etawah,Faizabad,Farrukhabad,Fatehpur,Firozabad,Gautam Buddha Nagar,Ghaziabad,Ghazipur,Gonda,Gorakhpur,Hamirpur,Hardoi,Hathras,Jalaun,Jaunpur,Jhansi,Jyotiba Phule Nagar,Kannauj,Kanpur,Kanpur Dehat,Kansiramnagar,Kaushambi,Kushinagar,Lakhimpur Kheri,Lalitpur,Lucknow,Maharajganj,Mahoba,Mainpuri,Mathura,Mau,Meerut,Mirzapur,Moradabad,Muzaffarnagar,Pilibhit,Pratapgarh,Rae Bareli,Rampur,Saharanpur,Sant Kabir Nagar,Sant Ravi Das Nagar,Shahjahanpur,Shravasti,Siddharth Nagar,Sitapur,Sonbhadra,Sultanpur,Unnao,Varanasi,Grand Total
Agriculture,Crop land,2996.66,3025.74,3911.98,1851.88,1623.43,3409.52,4344.63,1076.18,3018.18,2329.56,2465.11,3697.97,3586.82,3636.03,2136.85,3667.80,3786.18,1572.99,1771.13,2152.76,2165.12,1433.18,1512.56,1724.84,3107.17,1878.93,879.07,913.50,2816.31,3732.57,2596.00,3166.08,4759.31,1518.98,3551.27,3336.85,3663.72,2076.04,1690.08,714.75,3981.72,1619.90,1525.93,2384.63,5165.00,3499.82,1424.84,2161.17,2323.22,2233.05,2846.43,1393.15,2198.66,2360.61,3180.12,3445.56,2504.41,2460.62,3353.00,2090.20,2744.48,1315.44,823.11,3984.65,1868.59,2457.39,4963.55,2247.68,3327.53,3157.59,1084.03,183423.81
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,108.29,88.25,143.73,19.97,37.72,59.38,225.66,38.31,133.55,44.32,33.06,345.67,53.30,5.43,57.81,85.38,17.98,27.18,120.12,8.83,14.06,61.37,33.31,90.35,165.44,109.87,150.96,38.78,42.06,37.46,47.50,282.88,194.27,32.36,280.30,130.20,207.12,5.12,57.83,27.43,120.81,11.08,42.71,23.64,293.01,87.22,64.89,24.10,165.53,142.20,102.30,9.82,44.76,226.51,9.71,82.60,1.34,128.60,117.81,37.39,93.00,33.19,24.32,62.45,15.01,74.82,107.61,257.59,108.84,206.68,35.15,6417.30
Agriculture,Plantation,11.31,25.52,85.83,71.09,28.73,32.11,73.12,7.68,65.77,28.68,45.37,70.51,92.86,18.91,57.78,63.78,121.74,10.60,9.28,19.34,13.87,1.33,297.60,36.31,80.61,0.66,5.57,18.85,43.90,50.19,38.28,11.69,92.05,12.67,5.85,79.37,14.66,88.15,7.53,9.72,18.07,36.26,126.79,72.12,5.61,18.91,345.90,40.24,24.68,6.54,4.20,15.60,55.00,40.03,31.60,56.56,7.26,529.20,382.29,17.80,183.51,33.40,24.49,8.28,94.56,50.87,122.41,15.71,267.44,237.54,20.49,4742.28
Barren/unculturable/ Wastelands,Barren Rocky,11.41,,23.45,,,,,,,,,2.40,,,,,,1.09,4.71,,,,,,,,,,,,,0.07,,,,,32.37,,,,1.85,,,,,67.74,,,13.37,,0.98,,,18.85,,,,,,,,,,,,,,41.31,,,,219.60
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,127.62,,13.25,,71.85,,,,,0.10,,109.26,5.61,,,2.81,3.02,,6.45,0.05,,81.75,0.16,,111.33,71.78,,0.06,,,0.09,94.56,1.60,1.23,202.06,,103.98,,,0.39,244.18,,2.00,,,,0.16,,13.98,,3.79,,,,,,,1.60,1.39,,,0.11,,,,,6.25,3.24,,1.33,0.14,1287.18
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,9.54,28.92,24.34,11.04,93.25,72.00,21.28,,,8.14,0.62,1.52,44.66,10.76,2.58,,15.24,1.25,0.48,0.01,99.01,51.20,17.38,46.52,106.14,57.93,4.47,0.22,29.11,3.30,2.56,1.80,146.70,28.36,,92.07,1.69,4.47,120.25,36.09,206.40,20.99,42.44,,14.51,,95.89,,0.44,148.90,8.07,13.14,,0.53,0.23,,0.01,156.97,205.56,0.33,,0.01,17.95,15.82,0.62,1.80,98.06,,136.81,192.70,8.44,2581.49
Barren/unculturable/ Wastelands,Sandy Area,0.13,,1.03,,,,0.36,,1.40,,0.35,,,0.21,,0.23,0.11,0.07,,0.26,,,,,,0.46,,,,1.19,1.49,0.83,,,,,,0.09,,,,,,,,,,,,,,,,,,0.52,0.30,,,0.09,3.89,,,0.16,0.09,,,,,,,13.26
Barren/unculturable/ Wastelands,Scrub Land,60.36,13.58,57.63,13.80,48.09,65.55,102.04,1.36,47.41,55.80,18.06,25.24,82.18,32.42,20.34,12.90,14.17,8.40,102.67,23.77,5.03,108.34,29.60,24.07,23.87,15.45,17.36,3.94,10.07,39.74,19.66,8.69,164.00,4.02,7.96,33.34,218.93,55.08,83.47,63.54,169.33,50.12,14.48,2.42,166.27,172.45,136.41,1.30,85.90,13.51,22.26,13.00,11.41,61.76,8.17,22.30,82.51,62.67,43.94,3.76,8.02,5.88,3.84,26.82,7.47,10.43,64.50,51.71,68.47,346.46,6.51,3486.02
Builtup,Mining,,,20.09,7.52,1.47,14.09,0.24,14.18,2.79,14.76,4.46,2.66,2.00,0.09,3.90,1.92,0.59,6.89,0.40,11.07,0.01,0.00,5.17,,5.51,,0.92,1.63,17.59,1.31,13.82,1.88,,,0.08,13.64,16.55,0.91,,0.75,0.29,,7.79,3.75,0.10,2.71,,4.74,16.65,0.09,,10.65,0.97,28.73,,5.71,0.14,5.22,1.82,0.29,0.18,4.64,6.33,0.02,9.57,5.10,0.44,31.29,16.23,4.12,11.44,367.92
Builtup,Rural,122.23,147.63,134.94,162.00,83.15,274.71,217.69,36.44,89.74,206.98,52.31,79.70,193.51,194.21,100.77,153.00,192.00,84.77,21.85,213.02,105.78,79.66,84.39,103.51,135.48,78.52,53.79,48.29,184.55,48.24,197.47,72.09,185.72,76.75,109.55,85.73,115.72,85.83,62.72,16.25,167.26,82.27,66.36,129.97,192.51,80.01,63.13,120.46,41.47,147.74,126.97,122.00,92.77,66.43,164.79,129.11,90.68,92.48,177.82,78.62,128.35,73.32,92.20,203.70,61.27,126.03,140.88,26.53,299.98,136.87,46.18,8258.82
Builtup,Urban,142.61,77.24,68.73,31.32,28.92,49.49,40.26,49.54,3.39,27.56,15.74,27.82,18.38,98.57,50.12,42.87,83.07,30.72,38.30,26.24,14.54,22.81,41.67,27.06,42.41,45.91,281.47,99.09,20.78,23.95,126.82,35.22,32.15,20.75,52.41,26.73,79.72,29.41,16.71,168.73,29.55,13.10,145.99,22.53,16.76,23.76,322.57,25.29,27.90,13.81,84.46,40.43,135.91,22.64,63.95,102.37,22.79,35.39,58.66,28.57,71.04,32.50,25.46,36.74,18.37,26.99,26.69,78.73,40.47,54.74,113.68,3921.13
Forest,Deciduous,137.41,9.99,179.36,12.02,5.73,36.84,5.53,5.80,306.54,19.07,499.29,140.73,117.21,,43.24,349.59,6.43,723.66,713.68,11.59,3.14,2.16,40.69,0.62,195.53,22.59,8.15,2.94,12.83,125.50,75.61,171.32,6.27,1.56,128.05,50.97,337.22,16.70,2.94,1.59,17.23,2.27,19.94,13.67,1043.53,672.60,16.39,423.87,202.52,1.45,16.53,9.39,41.66,1225.70,0.12,17.24,528.92,83.82,38.05,33.79,318.87,5.64,10.02,73.43,261.09,39.09,13.21,3294.91,55.01,2.10,7.93,13020.16
Forest,Evergreen/Semi evergreen,,,,,,,,,223.54,,0.59,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,,,,,,,230.97
Forest,Forest Plantation,0.08,,18.48,,,,,,0.39,,,1.17,0.14,,0.16,3.41,,18.16,7.97,,,,,,0.03,,,,,3.52,0.46,1.23,0.08,,2.12,,0.31,,,,0.54,,,,,3.36,,0.20,,,0.37,,,15.03,,,4.91,,,,,,,0.07,3.65,,0.39,31.19,0.03,,,117.43
