L 1,L 2,Almora,Bageshwar,Chamoli,Champawat,Dehra Dun,Haridwar,Naini Tal,Pauri Garhwal,Pithoragarh,Rudra Prayag,Tehri Garhwal,Udham Singh Nagar,Uttarkashi,Grand Total
Agriculture,Crop land,1287.12,310.99,666.97,370.18,688.05,1299.09,754.47,931.51,410.08,232.28,631.71,1578.37,529.84,9690.67
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,
Agriculture,Fallow,9.03,56.48,5.32,6.13,39.10,75.75,84.38,173.54,92.35,36.31,221.62,50.66,76.60,927.28
Agriculture,Plantation,1.53,0.18,,,31.29,93.45,16.40,3.25,0.62,,0.29,28.57,,175.58
Barren/unculturable/ Wastelands,Barren Rocky,,164.28,1905.12,0.06,0.19,,1.53,0.64,1662.86,117.78,63.10,,2110.19,6025.76
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,0.06,0.06
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,1.20,,0.18,,2.59,4.05,7.14,6.19,,0.09,0.13,1.86,2.31,25.74
Barren/unculturable/ Wastelands,Scrub Land,77.47,56.57,43.70,29.66,176.97,60.54,80.69,210.82,180.22,12.13,46.41,47.90,68.75,1091.84
Builtup,Mining,,3.14,0.36,,2.43,11.10,0.11,0.76,0.21,0.02,1.25,4.39,,23.75
Builtup,Rural,6.08,2.64,3.73,0.84,21.03,49.79,9.42,20.11,5.78,1.69,9.96,70.36,8.26,209.71
Builtup,Urban,7.91,1.77,5.49,4.53,131.40,72.30,57.23,29.33,12.37,0.91,5.66,69.94,3.19,402.02
Forest,Deciduous,300.76,52.52,94.64,349.55,995.00,339.10,1565.35,1805.77,62.86,26.85,281.10,355.02,50.60,6279.12
Forest,Evergreen/Semi evergreen,1322.84,1229.74,2464.87,849.90,715.87,6.66,792.27,1404.81,1751.39,835.95,1923.22,3.79,2863.15,16164.47
Forest,Forest Plantation,0.03,,,,17.50,109.57,482.03,15.95,,,0.10,167.80,0.05,793.02
Forest,Scrub Forest,88.43,75.43,138.49,104.14,82.19,65.96,176.08,529.22,425.09,40.24,153.46,35.14,175.53,2089.39
Forest,Swamp / Mangroves,,,,,,,0.11,,,,,7.05,,7.17
Grass / Grazing,Grass / Grazing,4.91,144.48,1345.70,4.23,52.87,,,3.05,1302.88,483.20,117.49,0.03,870.55,4329.38
Snow and Glacier,Snow and Glacier,,129.83,1307.68,,,,,,1088.23,184.29,131.85,,1144.12,3986.00
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,,,,,0.05,,,,,,,0.05,,0.10
Wet lands / Water bodies,River/Stream/Canals,26.69,21.93,47.27,46.75,130.57,171.46,179.24,116.77,96.07,12.00,28.43,79.75,106.42,1063.37
Wet lands / Water bodies,Water bodies,,0.00,0.49,0.04,0.89,1.21,9.55,75.27,0.28,0.25,26.22,78.32,6.38,198.91
