L 1,L 2,Anantapuram,Chittoor,East Godavari,Guntur,Krishna,Kurnool,Potti Sriramulu Nellore,Prakasam,Srikakulam,Visakhapatnam,Vizianagaram,West Godavari,Ysr Kadapa,Grand Total
Agriculture,Crop land,12256.91,6160.57,4714.95,7681.71,4806.43,10297.18,5187.53,8649.52,3276.27,3019.93,3421.77,4542.29,5665.00,79680.05
Agriculture,Current Shifting cultivation,,,13.39,,,,,,,,,0.13,,13.52
Agriculture,Fallow,1413.51,1520.56,231.28,331.58,256.36,1299.81,1386.61,1163.39,109.94,659.15,320.31,89.38,819.76,9601.64
Agriculture,Plantation,85.24,157.84,1114.71,162.64,1010.89,20.47,702.96,487.51,740.93,889.78,767.30,901.00,246.36,7287.61
Barren/unculturable/ Wastelands,Barren Rocky,392.82,253.72,4.40,451.86,0.92,727.81,7.57,117.47,6.08,8.97,17.26,0.28,273.75,2262.90
Barren/unculturable/ Wastelands,Gullied / Ravinous,0.27,5.07,,,,1.08,5.49,1.53,0.33,34.69,1.05,,0.14,49.65
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,296.64,57.60,,22.61,0.94,289.89,229.80,229.32,,,,,22.24,1149.05
Barren/unculturable/ Wastelands,Sandy Area,4.76,,19.17,8.26,41.25,,165.81,24.46,75.90,102.96,17.22,3.31,1.22,464.33
Barren/unculturable/ Wastelands,Scrub Land,1448.72,1600.06,133.36,272.18,105.52,779.85,726.15,1431.78,438.56,1390.26,391.64,34.42,2204.94,10957.44
Builtup,Mining,31.57,98.61,14.05,44.05,12.20,127.48,27.25,30.54,6.63,14.48,14.89,17.96,55.10,494.82
Builtup,Rural,241.77,171.57,323.64,321.43,319.18,279.81,252.21,252.06,111.77,126.39,100.24,306.13,155.31,2961.51
Builtup,Urban,137.40,128.49,162.03,162.60,200.08,81.14,141.08,75.85,26.21,311.85,79.52,106.11,112.84,1725.19
Forest,Deciduous,584.86,2873.78,4385.50,840.86,222.41,2275.24,1226.05,3200.72,324.28,3401.45,749.23,1095.07,3423.23,24602.67
Forest,Evergreen / Semi Evergreen,,0.10,96.13,,,,,,,89.22,,65.18,,250.64
Forest,Forest Plantation,0.65,61.81,97.52,23.70,27.94,11.66,118.77,44.25,15.00,40.93,8.65,153.47,9.76,614.11
Forest,Scrub Forest,1227.26,1340.08,147.53,336.26,132.69,664.95,702.86,902.95,296.12,651.05,309.02,2.71,1478.68,8192.16
Forest,Swamp / Mangrove,,,176.73,60.52,140.44,,2.95,0.25,0.12,,,2.88,,383.88
Grass / Grazing,Grass / Grazing land,,,38.17,,,,,,,52.80,,6.75,,97.73
Snow and Glacier,Snow,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,45.05,20.59,61.93,,586.49,52.50,50.23,32.62,1.09,7.80,,858.29
Wet lands / Water bodies,Inland Wetland,0.14,,17.05,8.27,152.42,,7.04,19.05,20.32,3.58,0.94,154.09,3.83,386.73
Wet lands / Water bodies,River / Stream / Canals,417.49,152.80,637.19,369.88,333.38,285.44,413.14,377.30,130.48,155.71,90.22,184.17,352.45,3899.65
Wet lands / Water bodies,Waterbodies,590.00,569.36,454.13,272.01,902.02,516.18,1186.24,565.54,207.87,175.16,248.65,833.88,534.40,7055.43
