L 1,L 2,Araria,Aurangabad,Banka,Begusarai,Bhabua,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Jehanabad,Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Grand Total
Agriculture,Crop land,2298.04,2466.16,1891.82,1327.08,1872.33,1835.67,2011.32,1345.48,1559.60,3117.78,1551.08,1534.17,1315.58,2356.34,1195.85,1504.24,958.06,1459.98,2581.08,752.95,2015.54,2046.90,1512.88,3345.40,2466.34,2989.41,2595.03,2463.69,1271.91,2301.41,1939.73,442.59,450.60,1624.49,1604.14,1809.20,1167.52,66981.40
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,55.50,193.70,47.40,16.04,119.67,86.29,48.62,31.06,68.88,490.63,27.35,130.67,30.89,41.37,12.12,48.60,50.89,30.09,46.32,33.24,123.37,65.08,190.96,75.22,47.50,79.74,83.57,109.17,26.78,39.31,105.03,43.71,15.68,25.06,56.73,83.00,72.48,2851.74
Agriculture,Plantation,51.02,13.91,30.83,93.89,1.71,137.83,76.39,24.05,226.96,7.31,26.73,12.28,14.06,38.56,47.62,52.42,22.00,48.95,345.88,13.52,346.49,6.06,9.67,105.05,18.88,229.45,51.54,16.55,50.12,140.97,40.88,7.35,42.26,147.51,31.39,63.96,355.64,2949.69
Barren/unculturable/ Wastelands,Barren Rocky,,3.53,15.31,,8.95,0.97,,,,24.32,,7.41,1.31,,,,2.44,,,2.62,,0.31,14.34,,,,,9.38,,,,2.53,,,,,,93.42
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,0.92,12.10,,4.74,,,,,5.50,,28.16,,,,,,,,0.41,,,6.85,,,,,12.68,,,,,,,,,,71.36
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,0.05,,,,,0.57,0.03,1.73,,,,,,,,,,,,,,,,,,,0.93,,,,,,,0.11,,,3.43
Barren/unculturable/ Wastelands,Sandy Area,0.13,0.39,,,,,0.45,0.94,0.71,0.14,7.49,0.41,0.68,,,,,0.75,0.64,,1.65,,,7.59,0.82,2.77,,0.52,0.55,3.33,2.69,,0.30,0.48,0.96,14.84,,49.23
Barren/unculturable/ Wastelands,Scrub Land,25.75,107.55,513.54,13.53,23.65,34.67,43.97,19.53,3.86,135.36,70.19,512.47,21.85,102.95,5.19,39.83,7.48,31.04,18.06,32.81,60.92,1.81,17.96,168.67,55.39,86.87,37.09,86.01,11.79,10.60,76.06,0.24,3.78,6.29,31.85,44.55,21.80,2484.95
Builtup,Mining,3.83,11.27,1.55,1.28,3.93,4.33,8.53,7.41,15.21,5.75,5.39,0.48,6.91,6.24,1.02,7.66,0.07,2.13,16.50,0.68,13.10,1.02,5.51,2.43,17.91,12.47,5.52,17.08,5.40,1.72,10.16,3.49,2.25,12.13,10.89,4.14,2.90,238.27
Builtup,Rural,235.95,162.79,117.89,150.41,100.81,100.22,169.71,110.12,190.92,140.78,178.76,122.79,92.01,117.61,82.63,131.93,56.70,138.77,308.82,69.68,285.46,111.45,112.81,227.52,136.74,282.05,174.92,185.29,92.36,200.53,105.39,28.89,43.04,153.68,241.80,164.22,111.04,5436.53
Builtup,Urban,12.87,30.23,2.36,66.06,13.87,52.09,15.43,10.47,38.80,44.74,14.40,7.25,4.62,15.79,5.55,6.09,11.57,4.90,13.56,23.24,70.80,28.63,7.50,23.79,162.17,26.45,28.16,33.79,11.19,25.04,28.62,5.86,1.18,17.38,10.04,9.41,15.08,898.98
Forest,Deciduous,,131.86,249.69,,691.33,0.07,,0.05,0.80,598.14,0.03,636.67,0.09,,,,164.53,,0.03,309.70,1.19,46.98,441.65,767.19,0.13,0.59,,512.81,,6.36,0.10,,0.99,4.06,,,0.08,4565.14
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,,,0.53,,,,,,,,,1.28,,,,,,,,0.02,,,,3.55,,,,,,,,,,,0.04,,,5.41
Forest,Scrub Forest,,48.42,15.49,,462.75,,,,,259.05,,35.85,6.03,,,,9.76,,,7.28,,1.57,97.05,152.96,,,,205.90,,,,,,,,,,1302.12
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,0.04,,,,,2.57,1.76,0.11,,,,,,,,,,,,,,,0.11,5.88,,,,,0.08,,,,,,,6.77,17.31
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,41.48,15.62,0.75,51.03,0.64,45.82,5.68,10.94,123.08,0.63,73.19,6.75,1.75,149.02,48.37,15.68,1.02,32.71,73.85,2.63,174.04,20.59,2.35,76.09,50.98,131.16,87.92,1.00,111.16,86.18,165.44,0.50,7.35,31.82,162.48,33.65,140.84,1984.19
Wet lands / Water bodies,River/Stream/Canals,65.68,115.32,85.08,167.77,42.47,260.99,88.93,58.99,33.49,142.26,74.33,81.37,71.30,228.29,82.09,128.83,54.27,41.98,83.95,145.08,75.29,31.53,64.23,269.44,238.82,118.58,135.15,179.62,111.85,87.14,164.81,2.52,15.09,31.34,63.63,252.38,140.58,4034.47
Wet lands / Water bodies,Water bodies,1.75,3.23,33.66,1.90,22.13,2.05,1.83,3.17,14.86,3.59,4.05,25.00,1.92,0.84,1.55,0.72,3.22,0.70,12.32,3.15,4.14,5.08,10.25,2.97,0.43,8.46,1.11,9.59,0.89,1.32,2.07,2.32,0.47,5.74,4.94,0.66,1.28,203.36
