L 1,L 2,Ahmadabad,Amreli,Anand,Banas Kantha,Bharuch,Bhavnagar,Dahod,Gandhinagar,Jamnagar,Junagadh,Kachchh,Kheda,Mahesana,Narmada,Navsari,Panch Mahals,Patan,Porbandar,Rajkot,Sabar Kantha,Surat,Surendranagar,The Dangs,Vadodara,Valsad,Grand Total
Agriculture,Crop land,6248.16,4956.99,2414.94,9420.35,4155.63,6998.84,2026.64,516.20,8175.22,5189.76,5319.06,3579.92,2835.99,1314.36,1423.41,3737.21,3959.44,1479.47,8395.41,5123.70,4634.61,6484.83,266.82,5407.08,1548.29,105612.33
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,811.40,407.65,50.30,740.31,398.17,757.26,411.34,2.79,1776.48,484.55,4724.76,32.46,38.05,156.96,32.00,220.48,799.33,168.36,490.66,109.99,231.98,1949.07,74.24,507.15,90.16,15465.89
Agriculture,Plantation,3.66,8.06,1.06,35.05,3.62,11.75,,1.91,24.06,103.52,40.68,2.77,3.70,2.17,135.84,43.13,4.41,0.99,3.01,1.79,6.40,7.92,,2.24,100.80,548.54
Barren/unculturable/ Wastelands,Barren Rocky,,0.17,,1.42,,0.54,0.69,,3.74,,0.70,0.06,0.99,0.04,3.44,,,0.18,,3.75,,,,,,15.71
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,5.80,,,,,6.76,,,28.23,3.09,38.63,4.10,,,,,7.32,63.26,,8.89,,52.09,,218.17
Barren/unculturable/ Wastelands,Rann,,,,65.22,,,,,,,18280.49,,,,,,113.51,,25.28,,,105.67,,,,18590.17
Barren/unculturable/ Wastelands,Salt Affected Land,255.56,14.63,110.36,27.27,141.20,478.29,,,172.00,9.94,2061.40,4.55,,,11.23,,101.00,8.15,4.04,1.87,20.42,69.20,,1.54,4.05,3496.70
Barren/unculturable/ Wastelands,Sandy Area,0.08,0.08,,,0.76,0.94,,,12.81,4.75,9.92,0.08,,,,,0.22,10.17,,,,,,,0.13,39.93
Barren/unculturable/ Wastelands,Scrub Land,396.30,580.18,84.98,684.68,380.27,1427.83,163.62,42.30,1625.75,529.77,8829.42,195.05,130.17,76.54,68.31,340.51,327.09,217.36,1286.50,626.57,217.17,1207.10,34.24,373.81,60.30,19905.82
Builtup,Mining,0.19,10.97,,3.16,13.95,8.65,0.38,,55.48,19.53,65.67,5.26,0.68,0.21,5.86,6.89,0.06,12.23,12.94,14.37,12.32,14.49,,12.94,1.29,277.51
Builtup,Rural,129.62,99.86,57.63,192.04,96.13,185.48,26.78,19.59,183.98,137.91,203.87,67.95,91.70,24.55,49.69,78.98,90.15,30.61,194.53,110.85,176.51,96.50,8.64,140.70,52.04,2546.29
Builtup,Urban,445.98,45.78,65.66,59.72,185.75,134.02,15.34,44.76,190.90,68.79,308.06,49.31,69.56,6.37,32.93,76.56,48.49,23.51,232.59,67.65,264.07,71.16,0.31,191.95,52.70,2751.91
Forest,Deciduous,2.60,222.22,0.64,900.98,140.63,5.45,425.08,,376.08,1433.59,46.23,61.77,46.42,865.11,61.21,304.79,,180.50,20.52,690.05,1105.17,0.47,1281.70,452.89,567.85,9191.95
Forest,Evergreen/Semi evergreen,,,,,,,,,,,2.27,,,,2.96,,,,,,,,,,0.64,5.87
Forest,Forest Plantation,0.22,,0.07,20.68,0.21,0.09,10.53,,,0.42,0.27,,0.07,2.96,,49.42,24.33,,,0.26,57.08,,3.05,,9.70,179.37
Forest,Scrub Forest,4.30,172.68,,202.37,45.39,185.65,354.40,,4.01,117.37,154.32,1.32,5.44,111.40,173.22,118.11,0.06,6.78,89.50,263.35,149.38,1.15,57.19,310.77,281.14,2809.29
Forest,Swamp / Mangroves,9.75,1.03,13.23,,37.15,93.46,,,327.89,0.15,439.56,,,,19.64,,0.02,,2.21,,40.49,,,,2.06,986.65
Grass / Grazing,Grass / Grazing,4.33,,,2.93,0.53,0.52,,,0.86,,,,,,0.18,0.07,0.04,,0.73,,,6.53,,,0.04,16.75
Snow and Glacier,Snow and Glacier,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wet lands / Water bodies,Coastal Wetland,117.71,87.99,119.94,0.35,418.07,523.55,,,631.88,40.06,4051.99,,,,124.71,,11.43,15.16,18.25,,82.57,4.15,,0.05,142.08,6389.93
Wet lands / Water bodies,Inland Wetland,16.47,0.18,23.13,24.83,16.75,9.16,0.23,0.08,0.62,5.37,11.61,2.02,0.31,,1.53,1.71,16.25,8.86,0.13,1.03,33.11,46.63,,0.63,0.94,221.54
Wet lands / Water bodies,River/Stream/Canals,133.47,85.29,75.00,188.00,183.03,140.24,44.60,12.73,278.49,104.70,503.15,96.89,55.84,69.74,51.63,98.67,83.85,22.44,195.95,116.24,182.21,170.58,37.24,250.15,81.48,3261.58
Wet lands / Water bodies,Water bodies,127.21,66.25,21.25,133.62,26.75,193.29,129.38,1.89,284.76,55.82,570.35,47.51,25.45,159.49,13.21,180.49,104.33,116.25,223.43,195.27,443.50,244.68,0.57,90.03,37.30,3492.09
