L 1,L 2,Ambala,Bhiwani,Charkhi Dadri,Faridabad,Fatehabad,Gurgaon,Hisar,Jhajjar,Jind,Kaithal,Karnal,Kurukshetra,Mahendragarh,Nuh,Palwal,Panchkula,Panipat,Rewari,Rohtak,Sirsa,Sonepat,Yamuna Nagar,Grand Total
Agriculture,Crop land,1322.51,3015.86,1233.31,384.34,2315.49,733.2,3332.79,1494.15,2462.18,2090.11,2267.74,1367.94,1539.41,1179.84,1152,319.25,1049.6,1322.14,1431.88,3840.68,1774.83,1345.11,36974.36
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,2.49,131.83,7.17,6.54,39.15,14.53,238.94,67.48,30.66,8.7,9.91,1.64,5.68,6.97,8.1,9.69,11.85,6.22,84.73,133.77,17.08,4.77,847.9
Agriculture,Plantation,22.48,4.89,1.97,0.78,10.56,4.97,7.76,1.69,2.71,4.71,2.33,5.1,0.57,0.79,2.87,5.58,1.38,2.73,2.15,35.69,2.52,22.52,146.77
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,,,,3.55,0.59,,,,0.2,,,,,4.34
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,0.91,1.13,3.79,0.29,7.37,5.37,5.57,0.2,1.29,0.05,,0.03,11.71,4.92,,6.15,,4.48,6.87,13.66,,73.8
Barren/unculturable/ Wastelands,Sandy Area,0.07,0.04,,0.49,,,2.81,0.09,0.08,,0.05,,0.36,0.05,2.08,0.57,0.75,,1.99,0.58,,4.29,14.29
Barren/unculturable/ Wastelands,Scrub Land,22.09,75.92,52,108.38,7.56,124.96,56.5,36.7,11.23,13.52,19.55,7,180.4,143.03,34.03,42.99,18.96,75.59,30.25,15.69,28.82,32.39,1137.56
Builtup,Mining,6.75,8.02,2.36,15.79,4.39,3.36,9.11,38.45,5.57,5.47,7.66,5.81,13.3,11.53,16.06,4.23,5.81,12.47,2.17,10.6,20.86,7.92,217.71
Builtup,Rural,39.51,67.42,29.78,25.43,60.06,48.64,107.03,46.43,60.29,64.21,62.26,42.11,63.27,40.88,41.97,15.34,36.01,64.25,49.84,106.06,47.06,47.28,1165.13
Builtup,Urban,107.69,39.86,12.48,175.47,47.82,237.43,129.09,64.05,50.5,51.99,97.97,58.94,31.2,21.05,34.76,82.24,109.1,69.24,89.43,62.44,115.57,70.58,1758.89
Forest,Deciduous,12.75,6.27,2.19,1.85,0.54,13.43,7.42,12.28,5.31,39.94,4.27,21.02,22.05,20.15,1.51,320.93,0.59,11.46,0.28,1.66,0.22,161.26,667.36
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,0.24,,,,,1.39,9.89,,,,,0.25,,,,1.43,,2.83,,0.21,,0.72,16.97
Forest,Scrub Forest,0.1,,0.3,0.27,,51.27,,,,,,,9.06,25.08,,56.45,,0.52,,,,13.19,156.23
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,10.53,34.89,23.3,2.6,20.21,2.84,42.85,36.35,40.15,5.96,6.87,4.13,21.35,25.62,26.26,,4.56,14.32,22.96,26.59,62.95,3.19,438.5
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.23,2.92,2.72,1.9,1.26,8.06,2.18,7.93,1.67,0.16,0.49,0.64,,6.27,9.98,,0.49,1.88,2.35,1.98,1.58,3.71,58.41
Wet lands / Water bodies,River/Stream/Canals,24.34,5.73,0.13,14.75,24.64,2,13.19,8.38,12.08,19.19,34.3,10.49,7.08,8.06,17.33,36.54,15.98,4.29,5.45,21.35,24.91,48.78,358.97
Wet lands / Water bodies,Water bodies,2.22,8.44,2.17,2.63,6.03,4.56,18.06,14.45,19.36,11.74,6.55,4.92,1.68,5.4,7.13,2.75,6.76,5.85,17.05,12.83,11.95,2.29,174.8
