L 1,L 2,Bilaspur,Chamba,Hamirpur,Kangra,Kinnaur,Kullu,Lahul and Spiti,Mandi,Shimla,Sirmaur,Solan,Una,Grand Total
Agriculture,Crop land,416.42,567.25,395.66,1583.12,16.19,80.74,53.81,920.50,460.09,793.62,546.92,580.71,6415.05
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,
Agriculture,Fallow,,,1.81,0.26,,,,0.63,0.04,,,,2.74
Agriculture,Plantation,0.12,109.45,4.23,81.82,138.43,565.39,36.55,306.43,917.79,14.03,,,2174.25
Barren/unculturable/ Wastelands,Barren Rocky,1.07,656.85,,204.70,2542.44,458.01,6401.04,5.56,225.75,17.49,3.88,4.79,10521.58
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,27.12,,13.08,2.15,,,,15.78,,1.55,16.62,6.16,82.47
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.79,0.77,1.72,0.37,3.21,0.07,47.20,0.13,0.06,4.80,0.85,4.29,64.27
Barren/unculturable/ Wastelands,Scrub Land,389.40,1032.35,396.44,923.42,296.52,511.40,260.22,1012.48,565.48,716.96,802.26,545.97,7452.90
Builtup,Mining,0.87,,0.08,4.32,,0.31,0.07,1.54,0.13,6.82,4.58,5.47,24.18
Builtup,Rural,13.63,22.57,26.51,27.11,14.08,22.08,6.04,44.47,41.76,25.92,22.82,43.02,310.02
Builtup,Urban,5.51,9.18,10.51,125.48,2.55,12.39,0.84,12.29,28.17,22.17,49.85,18.15,297.11
Forest,Deciduous,120.11,62.06,24.77,297.60,9.52,10.87,54.11,109.38,14.09,170.94,166.63,232.56,1272.65
Forest,Evergreen/Semi evergreen,46.32,2075.82,185.66,1526.73,632.92,1925.78,145.10,1167.84,2293.88,818.46,209.43,1.70,11029.64
Forest,Forest Plantation,,0.77,,0.76,0.49,,,,,,,,2.02
Forest,Scrub Forest,3.37,31.89,0.52,3.70,6.96,18.32,8.09,35.67,14.23,33.89,3.35,0.98,160.95
Forest,Swamp / Mangroves,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,11.40,1154.91,12.33,231.11,1193.84,919.28,1419.09,257.43,460.30,130.54,75.37,4.06,5869.65
Snow and Glacier,Snow and Glacier,,713.26,,263.53,1481.33,922.24,5225.73,,76.89,,,,8682.97
Wet lands / Water bodies,Inland Wetland,,,,1.03,,0.09,1.49,,,,0.04,0.04,2.69
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,
Wet lands / Water bodies,River/Stream/Canals,17.36,81.30,44.68,211.37,62.00,55.49,173.98,49.55,31.14,66.55,30.85,52.27,876.54
Wet lands / Water bodies,Water bodies,113.50,9.55,0.00,250.42,0.50,0.55,1.65,10.30,1.20,1.26,2.55,39.83,431.31
