L 1,L 2,Bagalkot,Ballari,Belagavi,Bangalore Urban,Bangalore Rural,Bidar,Chamrajnagar,Chikkaballapura,Chikkamagaluru,Chitradurga,Dakshin Kannad,Davanagere,Dharwad,Gadag,Hassan,Haveri,Kalaburagi,Kodagu,Kolar,Koppal,Mandya,Mysore,Raichur,Ramanagara,Shivamogga,Tumakuru,Udupi,Uttar Kannad,Vijayapura,Yadgir,Grand Total
Agriculture,Crop land,4951.46,5205.50,9981.24,581.09,996.99,4674.16,2038.53,2406.18,1942.18,5228.96,202.19,3810.36,3368.60,3708.12,3345.07,3840.20,9601.28,639.14,2183.37,5141.89,3250.23,3959.23,5741.19,1240.72,2393.03,5304.72,673.95,1202.29,9095.69,4222.73,110930.30
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,21.14,280.05,214.85,27.40,92.54,9.16,186.64,272.63,7.61,164.04,6.86,54.28,123.03,360.81,29.21,52.63,132.54,2.19,165.17,585.19,19.42,28.35,68.16,6.41,19.40,109.87,16.14,2.34,523.03,46.29,3627.37
Agriculture,Plantation,7.34,41.59,65.94,325.60,743.67,16.54,218.05,264.41,1886.56,874.97,1883.97,796.39,50.25,4.85,1965.72,107.68,2.29,256.64,597.36,25.60,616.75,573.86,11.42,933.97,1366.98,2741.56,728.07,356.60,106.32,16.14,17587.10
Barren/unculturable/ Wastelands,Barren Rocky,84.50,563.64,2.05,2.29,14.06,0.50,21.26,119.62,10.80,110.35,15.60,4.37,,13.16,17.78,0.17,8.76,18.51,85.49,143.39,22.30,3.77,163.44,108.03,4.94,161.33,25.38,57.55,35.82,96.78,1915.63
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,2.59,16.46,2.38,1.33,5.27,,1.60,17.23,6.40,11.03,,4.29,0.10,3.49,1.18,3.51,3.97,,9.63,0.15,0.38,2.55,0.21,1.56,,7.69,,0.11,4.64,6.33,114.08
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,15.84,96.95,15.52,,0.75,0.36,19.25,3.44,7.10,106.58,,25.69,0.08,5.10,0.74,0.17,8.54,,2.45,102.21,1.03,5.37,73.86,0.43,,37.29,,0.11,3.89,132.95,665.70
Barren/unculturable/ Wastelands,Sandy Area,,1.01,,,,,0.47,,1.00,,1.54,0.00,,0.02,,0.00,,,0.91,,,0.65,0.47,,1.26,0.16,0.74,3.57,,0.00,11.81
Barren/unculturable/ Wastelands,Scrub Land,185.89,673.35,677.80,84.80,52.55,336.97,234.00,388.83,160.45,659.90,83.68,186.29,53.26,80.49,284.87,69.42,433.29,17.70,170.59,417.35,270.50,116.45,275.47,288.11,186.54,590.66,46.46,32.22,187.14,265.24,7510.26
Builtup,Mining,18.51,102.37,17.52,33.91,21.64,3.26,10.37,58.69,12.86,23.73,6.41,20.17,6.19,7.94,17.16,9.30,54.41,1.16,44.82,89.45,26.53,9.97,9.79,29.28,11.62,48.45,4.76,8.21,12.24,8.89,729.63
Builtup,Rural,93.61,125.36,229.72,69.46,60.40,95.64,66.51,70.44,102.06,96.45,222.12,142.25,77.39,66.66,146.20,155.60,118.24,80.90,68.40,115.41,181.59,140.35,63.70,87.66,343.82,213.29,16.03,60.30,97.54,58.02,3465.16
