L 1,L 2,Agra,Aligarh,Allahabad,Ambedkar Nagar,Auraiya,Azamgarh,Badaun,Baghpat,Bahraich,Ballia,Balrampur,Banda,Bara Banki,Bareilly,Basti,Bijnor,Bulandshahr,Chandauli,Chitrakoot,Deoria,Etah,Etawah,Faizabad,Farrukhabad,Fatehpur,Firozabad,Gautam Buddha Nagar,Ghaziabad,Ghazipur,Gonda,Gorakhpur,Hamirpur,Hardoi,Hathras,Jalaun,Jaunpur,Jhansi,Jyotiba Phule Nagar,Kannauj,Kanpur,Kanpur Dehat,Kanshiramnagar,Kaushambi,Kushinagar,Lakhimpur Kheri,Lalitpur,Lucknow,Maharajganj,Mahoba,Mainpuri,Mathura,Mau,Meerut,Mirzapur,Moradabad,Muzaffarnagar,Pilibhit,Pratapgarh,Rae Bareli,Rampur,Saharanpur,Sant Kabir Nagar,Sant Ravi Das Nagar,Shahjahanpur,Shravasti,Siddharth Nagar,Sitapur,Sonbhadra,Sultanpur,Unnao,Varanasi,Grand Total
Agriculture,Crop land,2987.51,3016.64,3893.98,1864.93,1613.82,3427.65,4330.93,1070.37,3029.77,2330.64,2438.08,3491.69,3605.46,3635.11,2132.18,3646.30,3776.33,1568.90,1562.62,2165.30,2155.18,1425.34,1518.11,1711.02,3085.36,1865.33,879.98,897.09,2814.53,3745.38,2602.09,2999.10,4753.72,1515.28,3620.96,3327.16,3741.46,2066.01,1678.13,707.04,3971.18,1614.16,1503.06,2399.11,5118.55,3526.22,1416.10,2153.10,2076.54,2226.31,2825.15,1397.76,2195.44,2383.72,3163.76,3431.69,2494.95,2456.96,3354.88,2094.25,2637.20,1312.41,819.65,3993.97,1854.84,2454.09,4928.84,2276.16,3324.97,3140.40,1064.34,182306.22
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,102.55,86.57,170.10,27.46,37.30,67.03,221.35,34.34,140.01,49.75,49.06,552.07,58.59,5.78,80.19,82.82,17.40,32.27,328.59,13.46,13.96,60.72,39.92,89.19,189.36,101.37,147.66,25.45,61.85,47.77,44.24,455.20,190.95,32.34,212.00,137.53,145.31,4.13,57.04,25.90,120.08,10.83,63.14,26.84,272.55,86.76,63.82,31.49,447.70,140.27,97.17,12.92,34.82,242.44,9.79,75.19,0.98,135.64,119.78,34.45,83.00,38.74,26.91,58.22,18.53,77.29,99.76,237.58,120.83,206.08,53.42,7285.57
Agriculture,Plantation,11.52,29.91,85.83,70.93,28.67,32.18,74.44,8.21,65.95,28.68,45.46,70.51,92.86,18.97,57.78,72.46,133.51,10.62,9.28,19.29,15.84,1.31,298.09,38.15,80.61,0.66,5.55,22.71,43.96,50.47,38.28,11.69,92.77,13.09,5.85,79.37,14.66,94.71,7.61,9.75,18.34,39.06,126.79,72.10,5.58,19.03,348.54,40.24,24.68,6.57,4.72,15.55,59.44,40.03,33.54,65.86,7.53,529.20,382.29,17.79,272.37,33.40,24.43,8.36,94.80,50.87,123.95,15.71,267.47,245.58,20.56,4906.58
Barren/unculturable/ Wastelands,Barren Rocky,11.41,,23.45,,,,,,,,,2.40,,,,,,1.09,4.71,,,,,,,,,,,,,0.07,,,,,32.37,,,,1.85,,,,,67.74,,,13.37,,0.98,,,18.85,,,,,,,,,,,,,,41.31,,,,219.60
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,125.34,,13.25,,70.94,,,,,,,109.14,5.61,0.03,,2.30,3.02,,6.45,,,81.52,0.16,,111.24,71.72,,0.06,,,0.09,94.44,1.60,1.23,202.08,,103.98,,,0.37,242.55,,2.00,,0.07,,0.16,,13.98,,1.89,,,,,,,1.57,1.39,,,0.11,,,,,6.16,3.24,,0.55,0.14,1278.40
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,9.74,28.90,24.34,11.04,92.58,71.76,23.32,,,7.85,0.62,1.52,44.66,9.16,2.58,,15.37,1.25,0.48,0.01,97.38,50.96,17.51,46.52,106.27,58.64,4.45,0.27,29.11,3.30,2.56,1.80,146.30,28.24,,92.07,1.69,4.66,118.90,34.48,206.86,20.94,42.44,,13.96,,97.28,,0.44,147.21,8.09,13.03,,0.53,0.36,,0.01,156.97,205.56,0.33,,0.01,17.95,15.82,0.62,1.80,96.58,,136.75,191.54,8.38,2573.72
Barren/unculturable/ Wastelands,Sandy Area,0.13,,1.03,,,,0.36,,2.68,,0.35,,,0.21,,0.23,0.11,0.07,,0.26,,,0.07,,,0.46,,,,1.19,1.49,0.83,,,,,,0.09,,,,,,,,,,,,,,,0.36,,,0.52,0.73,,,0.09,5.01,,,0.16,0.09,,,,,,,16.53
Barren/unculturable/ Wastelands,Scrub Land,61.66,12.96,54.34,11.36,48.34,49.97,102.22,1.67,17.39,58.99,17.38,25.00,69.68,30.32,15.83,13.19,12.70,8.39,102.63,17.97,6.15,106.30,27.60,22.45,25.96,15.57,17.14,3.48,9.75,31.50,18.80,8.40,158.37,4.40,7.92,33.33,218.61,55.90,75.68,64.85,167.36,44.09,14.25,1.31,167.87,170.46,137.58,1.15,85.90,14.70,26.20,9.18,11.81,60.33,8.03,25.05,80.48,61.66,43.85,3.50,8.60,4.59,3.84,25.06,6.85,9.63,60.29,49.05,68.40,342.85,6.12,3364.19
